from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
721396,1688332,417354,5898977,22,1457,512,2106,6459976,1116461
1850565,332918,226106,5578232,24,1758,359,1229,7208474,1056233
715361,721396,71433,3236472,21,902,99,1671,2578958,525084
715341,1311143,148085,2915429,18,1555,245,1187,1912411,393308
332903,1850565,291973,5416918,23,1709,353,1273,5896220,1210348
332905,715361,163146,2834655,26,1469,243,805,3495713,748438
721396,715361,121690,3194351,24,1110,222,1509,2777737,615824
715367,715367,25,0,0,2,0,0,0,1
715367,656306,237762,4508639,29,1692,601,2431,6094037,1085493
1688332,688396,205562,5623509,20,1186,539,2111,2164759,537388
1575747,332927,244993,2366614,33,1855,476,1647,2729701,566672
326876,715367,156571,2883980,18,1487,257,684,4409181,753289
656308,326876,304192,2406410,31,1861,482,1692,2611531,561323
1311143,688396,171285,5904551,25,1741,260,1616,7653186,1361224
1623099,1311143,145710,3206836,22,1469,33,873,3180614,535289
715363,721396,180543,3757460,24,1289,279,1899,6668846,836166
714514,715361,25446,708918,14,196,71,177,56076,13899
656306,115048,467744,5543904,44,1968,610,2209,4486096,979426
715361,715363,17450,514536,19,161,48,277,47659,19193
528747,721396,222594,7468690,35,2134,343,3064,6435155,1361222
715361,1575743,129700,4929835,30,1683,66,2116,6877971,1246147
1850565,1792575,235717,4646402,22,1812,408,968,3250537,577811
1311143,656308,303740,2318673,33,1856,488,1285,4573230,637493
528747,721396,374978,7468690,35,2134,615,3064,6435155,1361222
1850565,1688332,284486,7146491,26,2323,512,1720,11768780,1739517
1491170,721396,74709,1554128,16,725,99,680,2352438,319982
326876,1473275,201639,1878049,25,1846,279,974,3513669,542067
1850565,1251093,321094,6095646,20,1824,426,1564,9213540,1338667
1575743,1575743,646,0,0,2,1,0,0,1
1688332,656306,527763,12113770,36,2277,891,4753,8271058,1738567
721396,715361,150363,3194351,24,1110,408,1509,2777737,615824
1575727,715363,186537,4598561,26,1664,319,2610,3725435,797350
1311142,332918,693,129727,15,69,0,36,88470,1342
332903,1311127,4424,40352,17,50,10,23,333,155
1623099,715341,11553,747113,13,159,26,411,322012,26930
721396,715367,127073,3685812,27,1280,206,1744,4301995,696479
1251093,1850565,272940,5969390,20,1824,396,1619,6233912,1256926
715363,721396,307662,3757460,24,1289,295,1899,6668846,836166
332902,715363,160915,2889471,19,1480,128,692,3779736,753070
1311142,115048,200603,3728083,39,1641,259,1072,7883074,888417
1311142,1315989,3481,125054,16,68,11,37,87429,1291
721395,1141012,102707,2284805,38,753,206,1126,1617886,430367
1792575,715373,202947,6015766,21,1668,219,1582,5909848,1033632
332908,715361,192689,2578405,22,1549,417,785,4274979,714207
1304496,721396,186181,5814911,22,1862,318,2020,6704840,1321414
1251093,715237,160932,3067132,26,1551,278,1650,4111162,747933
1623099,867647,104904,1758514,19,996,201,600,1056127,128885
715367,1575747,135314,4511020,30,1692,93,2439,6099061,1086509
1473275,715363,236691,4231623,21,1671,332,2357,5858449,885652
115048,332922,185494,3482329,35,1750,241,1078,3348731,723820
1141012,867647,149399,1383558,26,888,272,320,721974,138466
715361,326876,121702,3158737,18,1488,86,854,2414781,495933
332909,326876,38347,425501,14,427,41,122,68362,24697
714514,332918,155445,3691728,23,1502,121,1093,3383170,609772
721395,715341,213555,3796597,21,1436,357,1818,2886262,721313
715373,721396,153743,3745844,24,1301,331,1907,5063653,832412
715341,332909,167022,2696360,17,1640,167,721,1330971,301652
656306,1141012,373500,5543264,43,1967,674,2208,4485854,979368
318620,1575747,197817,1980383,22,1674,343,1361,2832807,569284
714514,721396,118384,3178670,23,898,195,1503,2276535,406825
326876,715361,131846,2845714,20,1473,42,813,4388950,748906
715361,332927,168559,3228652,22,1494,161,878,2561846,521952
1623099,721396,69902,3104784,22,898,16,1591,2827804,479581
715373,688396,163388,3832732,19,1313,224,1970,5337211,875390
1315989,721396,248792,5869133,29,1765,398,2007,7974178,1334515
721396,1315989,292395,5748818,32,1772,596,1963,6137157,1060346
1792574,115049,241539,6380947,23,2036,452,1563,7889948,1095956
1688332,721395,190252,5714630,20,1208,440,2156,2336865,571874
1575744,867647,274285,4581372,35,2140,486,2121,3554532,802529
1575747,318636,128050,2013706,29,1646,76,1502,2430050,489568
332909,715361,171273,2573214,25,1550,142,787,3940265,715151
332918,326876,305,68669,11,39,0,36,1220,448
