from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
2140508,18,562005,2264772,17,1701,1422,1073,2359989,546289
1941860,1941685,175,7337,5,24,0,6,102,25
634766,1048602,858417,1975048,14,1837,1878,1308,6704739,1032022
3279376,2097163,665890,2128406,12,1388,1447,1030,8717802,1159185
323111,34,1716968,8034213,39,4119,3793,2289,4696547,1000089
1832126,1832187,1342,8290,6,34,1,9,255,81
3449914,1048589,1525015,6658319,23,3374,3367,3369,13542914,2347096
1000368,1048603,1051903,4142599,16,2617,2542,2278,15189437,2117034
1421913,373225,7,3635,2,7,0,2,57,8
250206,1048599,1442474,4998976,22,3354,3364,2895,14344575,2220703
3117248,3117248,6,0,0,2,0,0,0,1
3279376,2711236,158,1723,2,10,0,2,68,9
3506263,1048607,1537289,5420361,21,3348,3379,3248,16464247,2359115
323111,1371626,1222,5861,2,5,2,2,39,3
1607679,12,878764,2817692,17,2078,2054,1252,4862501,856509
1991120,1991113,132,2575,1,4,0,2,52,6
351384,14,1411440,5058530,21,3312,3142,1980,4716781,954240
2140508,107351,279,6004,2,21,0,5,192,48
1832126,2414181,90,7447,7,23,0,7,235,71
1226334,1048591,593962,2358735,25,1731,1472,1116,2562077,574854
493808,1048604,1884222,9277524,19,3662,3542,4047,12377288,2369816
357801,1048584,1556067,4765925,36,3280,3123,1940,4543142,945979
2515254,1048603,923215,2166479,20,2051,2133,1419,7691340,1157266
676969,1725549,328,4526,3,14,1,4,133,14
3099109,41,1312855,3626440,21,2786,2729,1253,5744772,1006995
1607679,1048606,797126,2785265,18,1994,1962,1246,4821867,848483
3305495,14,431170,1566550,19,1046,1000,655,4673273,694869
1222610,2097161,563907,2321817,18,1596,1374,970,2919461,648650
1219138,2,549785,2419557,19,1695,1446,1232,3117400,656492
1226334,1048582,592935,2364234,25,1731,1479,1122,2571286,576768
922993,40,1154021,3772954,13,2880,2848,1456,12935915,1599812
1634405,585644,602,9686,5,45,0,13,544,173
1634405,38,523535,1016100,20,1367,1166,476,2525665,445980
1222610,2097157,833311,2701603,14,2138,1904,1195,3573303,777787
1608188,8,961659,2829421,18,2114,2060,1137,4142375,812041
1511397,4,1650434,8419077,21,3712,3593,3853,10975567,2161981
1630756,1639585,420,3372,5,24,0,5,125,29
2165974,1218623,1133,8785,5,30,0,9,237,76
605250,2097162,1268608,2411761,19,2527,2612,1249,8812675,1303084
1991120,10,868543,1626292,16,2595,2132,902,1844687,416853
3313013,2747091,130,5602,2,20,0,9,350,51
804400,1048613,800919,2901937,10,2034,2023,1080,6631258,933657
676969,16,964556,2236794,10,2171,2176,1477,5732271,970120
605250,1653828,17,1332,2,6,0,2,58,4
3352822,9,538199,2136793,14,1711,1435,889,2404139,514713
2165974,170077,976,8288,1,28,0,6,203,62
3305495,1048613,366218,1513933,12,880,853,655,4309274,649947
1991120,1048581,911542,1656660,17,2619,2241,988,1906145,429442
3412372,2888293,101,6803,3,15,0,6,215,62
2766388,1048617,603342,2176247,8,1438,1478,906,7693445,933058
1832126,17,550854,1417808,11,1080,950,427,1812541,346075
2056396,35,1136788,3003493,16,2248,2313,1543,12960572,1727396
3412372,2888856,113,6292,2,16,0,6,201,56
1692968,2097160,612598,1370993,11,1213,1187,908,4435832,718785
1699530,11,806473,1777069,10,1599,1619,1267,5253364,836565
1877467,2432288,768,9243,5,36,0,11,493,127
1991120,40,839610,1590455,19,2583,2124,884,1772368,401878
250206,2097162,1426519,5149167,22,3298,3353,2911,14709396,2286742
3506263,8,1510572,5363883,15,3322,3371,3230,16356145,2340151
1511397,18,1681809,8878148,21,3715,3593,4065,11827092,2329257
1637622,1048581,508463,1087309,11,1205,1149,503,2697088,463246
804400,1048611,910265,2915109,18,2186,2143,1068,6766572,947005
1219138,1048601,562834,2390588,21,1687,1438,1137,3076681,648050
413324,413397,155,9708,4,17,0,6,170,46
1226334,2097161,598967,2383294,27,1733,1464,1131,2603133,583437
425813,1048615,1632550,9767519,42,3700,3550,4260,11922774,2378707
3279376,2097153,621160,2183565,10,1267,1362,1385,8875575,1183909
634766,2097165,831065,2007695,14,1851,1890,1322,6816338,1049448
3498441,27,1616326,5976408,19,3356,3421,2817,16750489,2511863
1832126,2413926,639,763,1,4,2,1,35,2
3498441,28,1611282,5989814,19,3360,3444,2820,16768808,2515705
3412372,2888961,115,5463,3,15,0,8,162,43
529371,1048606,1426863,4000540,21,2988,2935,1594,5500606,980830
1511397,1048607,1638605,8924599,24,3716,3588,4081,11888074,2342421
3196683,1048616,1051187,4580454,22,2659,2514,2050,16214025,2230586
3498441,22,1664963,5945636,18,3370,3430,2799,16708050,2503201
3449914,1048586,1528192,6648507,20,3382,3392,3368,13530080,2344223
676969,1048603,937008,2249516,13,2183,2201,1479,5797589,979415
3313013,3313012,39,1698,1,8,0,1,134,10
471695,17,1640843,9731408,28,3777,3608,4350,10524171,2186987
1226334,1048605,604331,2352618,19,1731,1478,1142,2551554,572688
634766,634764,868,7022,3,9,0,5,128,12
2725742,3297974,1355,8742,6,58,0,10,506,151
2935015,7,1649541,6162092,18,3388,3384,3143,13909892,2354517
1129821,28,1344358,4074635,19,3058,3236,2402,14642498,1913818
3279376,3277631,194,5152,3,12,0,7,163,41
1472659,31,1520062,9391231,20,3658,3533,4096,11921614,2371858
3449609,2940147,536,6209,4,17,0,5,4751,30
1630756,2097156,495586,1012133,11,1263,1148,506,2421941,447571
3305495,2741604,443,9333,7,29,0,12,469,164
3313013,1048595,1040103,2601212,18,2287,2400,1506,11816248,1478123
2515254,1,1797387,2165545,16,2051,2171,1495,7687617,1156730
3506263,34,1449449,5232006,18,3372,3352,3216,16048081,2289445
1454454,407356,1748,9336,6,14,2,8,239,38
1355671,1048611,1446798,4557625,30,3224,3415,2587,15100866,2055955
720397,36,487682,903102,16,1301,1130,576,2214653,392191
3449914,28,1456041,6680190,21,3368,3404,3375,13570804,2353309
2766388,19,698747,2092389,12,1550,1577,933,6863005,849665
1785657,737056,134,6417,3,21,0,7,274,79
1634405,1048589,526588,1000277,15,1351,1175,538,2475922,437324
1991120,2097158,880661,1639809,19,2603,2147,906,1870258,422205
1634405,4,370936,605857,13,1085,837,339,1351202,246804
1630756,2332517,1331,8522,2,26,3,7,370,118
1222610,1222599,372,6690,4,16,0,4,74,11
1832126,1048607,268961,1324185,15,746,608,446,1455475,292010
2140508,2140524,481,9703,3,35,0,8,372,106
830346,2097164,791501,1240131,17,2335,2046,732,2112716,431740
605250,604578,2403,9776,4,21,7,5,173,48
3352822,28,569956,2111432,12,1703,1445,873,2374669,508342
471695,34,1566194,10010237,28,3806,3582,4525,11051922,2294323
3345519,1048582,1246462,3720481,19,2663,2623,2066,14482043,1979933
922993,42,1160935,3796373,20,2850,2822,1452,13063097,1616742
2935015,19,1604668,5751361,22,3384,3374,2956,13143559,2203021
2035323,986812,679,7438,6,34,0,8,271,74
1832126,1048590,563517,1454033,12,1138,995,442,1983734,370341
2792073,23,1191253,3718616,21,2653,2575,1994,15997953,1984865
1785657,737084,45,1612,2,7,0,2,59,8
2035323,1048589,381005,852981,14,1017,882,542,1930245,366370
2725742,1048591,1140592,2421126,14,2669,2619,1626,9025340,1357782
52961,1048593,569423,1527028,19,1409,1242,624,1836286,391188
634766,10,786846,1944391,10,1815,1855,1300,6592514,1014860
1000368,1048608,1316084,4177559,15,2626,2549,2295,15253324,2128541
2056396,9,1125286,3016814,13,2262,2337,1533,12995917,1733225
1785657,738311,73,2225,4,14,0,4,89,17
1235169,7,580162,2438058,21,1666,1443,1283,2877282,641150
3313013,2751706,275,5009,6,44,0,9,308,43
1749550,1749503,802,7153,4,25,0,6,279,83
676969,1048606,952394,2272157,16,2191,2213,1492,5926794,997394
1222610,1048582,551512,2302757,16,1572,1369,961,2890672,642497
2766388,12,627517,2199440,13,1434,1462,915,7974669,959183
250206,42,1944469,5180946,29,3328,3392,2924,14770769,2298748
1991120,41,827263,1584865,18,2577,2121,882,1760904,399523
1199306,30,570913,2290282,24,1522,1353,881,3406821,669415
2035323,1048607,399583,894090,15,1051,912,559,2031707,385342
1222610,1048595,838114,2699771,22,2150,1917,1089,3568676,776962
1692968,1048603,620633,1402302,13,1229,1213,927,4535182,734369
1103302,1048590,484675,1516482,15,1381,1191,628,1819898,387118
2515254,28,928170,2178260,19,2059,2150,1421,7737774,1164037
1235169,1048613,550496,2476079,20,1613,1420,1296,2936993,653706
1630756,1630803,838,9117,2,23,1,10,407,131
1607679,29,797463,2792935,13,1990,1984,1246,4831075,850292
1580278,1580278,548,0,0,2,2,0,0,1
3449914,18,1518841,6652977,21,3382,3390,3370,13536071,2345544
1634405,2097164,535377,1051728,16,1403,1224,566,2612072,462443
250206,10,1490201,5124702,19,3314,3368,2905,14655449,2276776
1941860,40,569661,1271154,16,1403,1315,995,3799801,640043
3498441,30,1696748,5990683,22,3364,3428,2820,16769728,2515902
3099109,32,1271860,3551372,19,2698,2631,1226,5624310,982773
6317,1048618,66941,265682,8,342,209,100,78769,24953
157006,157011,278,5175,2,10,0,3,143,18
3196683,1048607,1114979,4679457,25,2717,2550,2076,16455582,2273270
1630756,1630727,1077,9449,1,23,2,8,430,139
1219138,1219171,138,7548,6,31,0,9,254,78
1991120,2097156,882395,1642015,19,2605,2149,904,1874598,423107
2725742,20,1072959,1965967,15,2489,2390,1415,6695315,1046166
