from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
3364958,7789,310059,1551152,15,1411,338,1010,3134155,413727
213220,1261723,12956,465134,19,140,21,261,25989,10890
126445,7799,718001,3167096,28,2544,688,1755,6351282,873906
1056372,1261751,944740,5218110,25,2886,1404,3139,25026866,2811693
1520029,900074,1122824,13777751,38,3744,1300,5927,18128363,3325221
1261751,213220,14603,169636,18,56,10,98,3150,1552
1261751,2183316,6028,163060,11,48,17,98,2707,1382
1070701,1948668,843832,5121895,16,3275,700,1606,22940212,2571517
2966726,1948668,1050710,11135773,28,3615,1455,4975,20883466,3325448
3468931,2966701,12988,228145,30,77,33,50,2104,962
3157553,1520029,762536,7327991,32,2647,904,3110,43541693,3420146
213238,1261751,1159,20742,10,26,2,15,582,73
2966730,1261765,372596,4456719,21,1604,315,1499,5236466,984080
1520029,561796,1329566,13088600,40,4191,1783,7034,17717104,3204649
126446,1174999,948,2805,3,10,2,3,38,5
2459262,2183316,929119,5233099,24,3005,1207,2736,23887446,2841741
213238,1948668,499261,7623732,25,2336,314,3074,20878250,2942944
2148241,1070701,301004,2262406,21,1346,500,1146,2719401,593978
1261764,2966726,409224,4566780,17,1633,392,1493,12608077,1528695
2183316,1032186,628380,4150343,20,2654,340,2250,8799451,1280497
2823189,1261751,893748,6751374,27,3365,990,4166,21728088,2931438
1260428,1032192,664452,3683102,26,2577,362,1935,8318893,1218473
2823195,213238,896484,6827196,27,3360,1090,4166,22128680,2938354
7799,561796,975257,3081718,21,2521,860,1745,13676069,1677544
7793,126446,693064,3076696,34,2511,744,1670,14143558,1675928
1070701,7789,188722,991713,12,860,204,549,813283,194316
1261751,1851483,484787,4107930,18,2000,349,1526,9118813,1312687
126446,1520029,1259266,12710665,48,4186,1225,7365,22342123,3555958
2967210,126445,1420986,10434445,38,4063,1956,6007,19810124,3204494
2148240,2148240,468,0,0,2,1,0,0,1
7799,213220,764314,5373812,30,2892,762,3229,22868572,2852065
1261751,2459262,853952,5212230,26,3007,870,2743,16217612,2072891
1948668,900074,2710,9874,8,39,7,10,353,124
1070701,126445,270911,2231266,30,1321,205,1156,8918896,1049564
2966734,2514475,917709,5903579,24,3092,805,2865,7080987,1487419
213238,900074,455822,7622049,23,2327,267,3068,20874799,2942295
1520029,2966731,188460,3117784,30,922,425,1163,1172575,307825
2966730,1032192,933450,5884146,33,3108,948,2837,7998585,1484975
1948668,7810,770530,5468641,19,3347,441,1928,12132601,1387990
1261751,2823189,886463,7118997,28,3378,1079,4501,20488409,2791669
1032192,900081,816814,6042389,24,3107,615,2465,30435737,3139859
3157553,2174743,1041423,5190558,29,3025,696,3779,39171340,2784377
213220,2174743,866786,8202221,37,3379,765,5175,23759388,3127300
7799,2183316,649019,5367236,23,2888,351,3229,22859335,2850363
7793,1032186,492533,1564527,17,1688,349,1467,3803768,650810
1260428,2966727,450804,4581836,17,1825,542,1642,13600447,1811614
213238,1261764,930,175691,13,48,0,105,3859,1512
2183316,213238,7215,164468,13,47,15,101,4042,1712
1261723,2080730,654413,4030546,21,2621,404,2138,8539425,1237544
2514475,1260428,664348,3622054,18,2568,467,2005,15974131,1983105
1520029,7799,936995,10049412,36,3795,538,5245,12213860,2163241
900074,7793,847809,5451711,19,3345,591,1911,12431879,1369472
7789,1261765,601069,5401684,26,2883,137,3238,25981973,2855979
1032192,2967210,959033,5588815,27,3105,1162,3130,29900580,3033562
1261751,1260428,24579,462852,20,141,45,276,29459,12615
1070701,3157553,666063,3401650,14,2359,630,2457,16615008,1743758
900074,2966727,1244387,10967453,23,3609,1481,4488,27928153,3272095
7789,1174998,712701,3085785,36,2507,900,1664,15955117,1671548
2080737,2966727,861130,5648799,27,3063,843,3120,25673803,3047506
