from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
175471,11,234981,5891688,28,1382,855,1293,4115297,1061529
991502,86,329845,6903517,21,1311,782,2015,4839082,1067823
822173,20,197162,7260945,31,1397,733,2735,4757322,1067351
234671,8,248882,6022191,34,1560,904,1881,4168122,1065462
674316,81,225693,7062916,24,1410,837,2466,4500891,1067955
508499,22,219557,7605076,33,1378,745,2787,4251888,1067609
614439,614502,140,6797,5,21,0,6,138,43
530071,10,223387,5824014,25,1428,828,1897,4683414,1067695
816170,816149,832,7867,4,28,0,7,332,63
687648,78,368671,6949983,34,1319,794,2345,4675883,1068814
684620,6,230096,7162189,32,1495,848,2461,4433578,1067390
779943,30,215542,6660990,25,1405,799,2163,4219209,1067125
880030,36,233952,5932312,31,1382,857,1848,5199601,1067253
264321,19,586016,6752599,30,1431,817,2470,4352347,1067893
234671,96,242924,5943676,25,1440,883,1274,4161530,1062719
902060,25,220118,8824610,31,1487,815,2706,4563679,1067529
85853,96,210855,10204815,24,1362,783,2792,3739519,1067915
189499,187633,94,8256,6,17,0,10,129,44
816170,63,188112,7248977,23,1268,710,2465,4385848,1068385
244709,34,247020,5897357,22,1431,865,1228,4374572,1060267
175471,45,227722,5812051,17,1375,847,1167,4100368,1055944
926502,926488,1002,6068,5,39,2,10,224,66
36626,36962,254,8151,4,20,0,11,171,60
699280,668863,43,3526,4,9,0,4,48,10
684620,691896,138,5467,4,15,0,6,104,30
950973,83,222471,7096705,21,1361,825,2493,4349209,1068183
909702,14,17356,533584,17,224,75,267,106651,34167
986513,62,212621,7106184,23,1343,788,2039,4649220,1068331
755629,46,211410,9599108,23,1358,792,2526,3830260,1068406
614029,614004,196,3657,2,18,0,4,5484,26
1042694,35,247853,6303463,24,1518,893,1507,3999891,1031337
244709,56,245397,5948993,27,1437,870,1258,4383324,1063576
614029,614003,1157,6717,5,31,3,8,10605,72
290177,78,246596,4647599,30,1504,879,1100,3487855,813368
993379,71,211463,6972320,27,1314,776,1992,4305501,1069097
1040535,85,251558,6264539,29,1528,897,1493,3961692,1021072
122230,96,218341,10290550,26,1383,802,2860,4367574,1067915
641635,68,245780,5887609,20,1504,896,1422,3985623,1025171
755629,37,209679,9581228,22,1356,790,2523,3829483,1068035
85853,63,208200,10227464,24,1365,781,2774,3740507,1068385
508499,509147,215,5848,3,15,0,5,118,35
902060,47,212504,8863947,24,1356,793,2470,4565761,1068508
4846,91,255212,5528961,27,1477,945,1568,4385097,1055728
991502,57,213006,6934599,24,1316,782,2020,4840905,1068535
894188,66,209127,8853344,29,1304,778,2409,4297992,1068293
5369,96,233564,5822813,23,1398,862,1826,4273526,1065310
755629,67,209736,9597790,21,1348,791,2557,3830194,1068374
813137,813308,100,5935,5,47,0,5,190,40
122230,99743,5323,9039,8,36,21,10,133,44
100519,100504,59,4654,1,13,0,4,101,33
36626,72,45297,1957748,12,431,167,959,475209,146279
535507,535507,7,0,0,2,0,0,1,1
340368,340962,292,7314,8,28,0,8,189,65
711605,707186,535,9758,5,60,0,18,345,123
5369,69,234713,5853139,25,1399,863,1833,4275477,1066207
9447,9456,105,7009,7,15,0,7,94,30
711897,7,229873,7300937,38,1485,835,2535,4495784,1067310
511453,511130,271,8998,4,36,0,7,217,76
286719,21,505166,2465733,22,802,334,1261,516130,159826
909702,25,36838,563102,20,484,143,281,115007,36796
1016318,9,130587,3270407,27,951,490,1206,1463668,370362
100244,92230,26,5575,9,21,0,9,96,31
800434,19,177972,7013397,31,1272,659,2535,4425361,1067145
530071,6,266391,5797426,26,1441,829,1893,4681415,1066804
993335,72,244202,6766838,23,1409,909,1923,4339071,1068046
385787,385812,30,1077,2,6,0,2,45,3
816170,21,196898,7206532,30,1400,733,2696,4383606,1067341
500214,85,209507,4246671,22,1265,749,987,3156969,745951
264321,97,216391,6752881,27,1322,796,1879,4352364,1067901
687648,695921,820,7921,4,14,2,4,518,12
234671,21,249301,5994472,35,1575,904,1876,4166526,1064743
935827,38,231301,8082313,24,1275,723,2886,4716186,1067884
171130,58,234323,6001084,20,1400,851,1550,4350832,1064242
508499,508495,564,7975,3,33,1,5,206,68
41108,56,60529,2053775,19,511,183,1019,492931,151594
993335,991159,203,8062,4,32,0,9,161,48
688516,90,211357,7232087,19,1294,786,2329,4399217,1067396
244709,19,322958,5962051,34,1551,891,1852,4384566,1064076
816170,816180,875,5221,4,19,2,5,125,28
273644,89,129197,3004007,24,875,461,939,1115121,276187
47344,47376,96,8644,6,22,0,13,197,68
318536,15,195850,7941801,39,1220,686,2371,5325058,1068744
122230,123670,434,8369,8,24,0,10,105,33
847526,13,196868,7436663,32,1232,714,2212,4568410,1068791
755629,755630,755,974,1,6,3,1,28,3
171130,29,240150,6025034,29,1527,876,2173,4353014,1065194
926502,926477,376,4194,4,23,1,4,133,33
711897,17,233735,7290551,36,1468,835,2528,4495359,1067107
401923,7,568383,3862508,27,1487,876,1580,2899553,663637
244709,31,254708,5965959,33,1562,891,1856,4384892,1064213
993335,80,247458,6795334,28,1419,907,1906,4340344,1068655
800434,75,173313,7050080,28,1161,638,2327,4427376,1068074
340368,64,189168,6906920,20,1252,710,2067,4323381,1068036
85853,45,207231,10201157,22,1362,780,2769,3739305,1067811
234671,81,243305,5945541,25,1439,883,1273,4161701,1062787
825355,825362,106,4508,3,19,0,4,124,23
100244,121527,953,9305,8,27,2,11,142,51
880030,98,235673,5932233,33,1380,858,1872,5199594,1067248
687648,85,220308,6905095,27,1311,793,2332,4674154,1067954
580099,50,236846,10332508,21,1536,917,2900,3676842,1068028
554440,551513,38,3485,5,19,0,6,61,17
286719,80,66859,2592416,21,548,241,1280,544697,168850
699280,90,221998,6992013,23,1399,821,2238,4362641,1067396
532543,38,226206,6021663,20,1346,830,1712,4776805,1067884
100244,37,205336,10322562,26,1293,759,2854,3734159,1068035
986513,986785,161,9230,5,25,0,6,196,45
950973,8,229399,7092237,29,1487,845,2707,4349019,1068093
1042694,44,246900,6321189,23,1520,895,1512,4006877,1033730
847526,71,195853,7486641,31,1233,710,2251,4568959,1069097
291357,55,259861,4838805,22,1491,895,1136,3590855,864819
902060,904192,157,3645,3,12,0,7,85,25
895202,22,223173,8822841,39,1536,819,2645,4286925,1067609
65350,52,211471,8201040,18,1335,781,2468,5059746,1067929
9447,22,233268,5510250,34,1523,846,1839,4424353,1058947
847526,847716,88,7761,2,13,0,3,78,23
551891,69,213272,5874420,27,1291,789,1726,4397862,1068331
100244,13,207133,10362046,35,1298,767,2854,3735688,1068791
119278,116999,114,3789,3,10,0,3,241,9
290177,98,245365,4642160,28,1504,878,1092,3486063,812784
674316,48,225938,7077978,22,1409,836,2442,4501527,1068257
1016318,63,145589,3281432,20,951,543,969,1474032,372969
825355,52,190377,7277069,27,1359,698,2465,4356517,1067929
779943,783666,68,5702,1,4,0,1,25,2
291357,59,244148,4813967,17,1488,892,1109,3575099,860313
254118,254015,200,8398,5,33,0,9,273,87
385787,386345,54,3526,3,14,0,4,71,13
711605,60,229653,7419811,27,1440,834,2288,4495050,1068650
951830,951832,68,1780,2,6,0,2,30,4
687648,24,227364,6895509,38,1451,815,2551,4673604,1067697
711605,27,232843,7347629,28,1551,856,2491,4491378,1066951
687648,14,212702,6947639,35,1322,798,2306,4675816,1068778
199208,75,243083,5156671,17,1364,824,1196,4449869,948954
894188,28,217410,8810818,37,1436,802,2615,4295747,1067253
4846,50,250841,5429539,18,1469,941,1532,4343710,1041826
631083,631760,29,2812,2,6,0,2,36,5
755629,81,211073,9577439,23,1352,793,2548,3829311,1067955
320355,83,190449,8224232,33,1237,702,2430,5375602,1068183
699280,2,229115,7010484,24,1398,826,2260,4363790,1067931
895202,895262,159,8904,5,38,0,7,59,16
688516,30,217677,7219178,25,1417,813,2566,4398617,1067125
909702,67,15732,490066,7,196,70,187,94152,30355
1006087,59,211535,7206043,26,1353,771,2140,4389085,1067232
299186,51,213282,9478770,24,1343,802,2797,4664557,1068210
880030,9,333483,5902709,35,1495,879,2087,5197434,1066232
950973,951000,269,7772,7,32,0,8,165,59
451866,37,276560,9007316,31,1403,885,2857,4603935,1068035
614029,613969,3620,9378,5,47,10,11,16432,142
783759,62,209682,6751653,20,1256,776,1941,4519583,1068331
532543,43,228242,6053343,24,1351,834,1718,4778300,1068595
380831,78,221516,8676648,35,1402,799,2731,4594474,1068814
800434,33,178185,7018101,31,1284,660,2540,4425548,1067227
614029,84,319895,10737577,24,1541,876,3087,6202966,1068220
401923,26,241139,3847259,25,1481,882,1573,2888124,660757
380831,77,217851,8670471,33,1400,799,2729,4594292,1068717
318536,69,184135,7930269,30,1208,682,2406,5324694,1068592
895202,61,256235,8870328,33,1404,797,2431,4289156,1068681
674316,2,223933,7061647,23,1412,837,2462,4500845,1067931
684620,47,224183,7207258,25,1367,825,2224,4435950,1068508
286719,4,86483,2450142,21,766,312,1255,511589,158473
98654,98582,216,5984,5,21,0,6,56,15
511453,50,191174,7692541,25,1230,722,2639,4199167,1068028
816170,816184,278,4779,5,17,0,5,108,23
614439,51,230390,10733308,25,1539,887,3161,3648602,1068210
119278,90400,2138,9778,5,26,7,8,413,58
41108,53,60790,2084548,17,511,184,1033,495412,152511
909702,52,15948,468396,7,204,71,157,88613,28631
401923,402136,19,3647,2,6,0,2,30,4
711605,17,235930,7354165,29,1551,855,2492,4491723,1067107
318536,5,200605,7880301,34,1337,703,2613,5321220,1067347
880030,52,275464,5891631,26,1373,855,1846,5196735,1065912
822173,21,196798,7260616,31,1399,733,2734,4757296,1067341
254118,254017,208,9017,5,33,0,10,299,97
287408,20,92679,2474637,22,798,332,1302,524746,163723
175471,94,227375,5820099,17,1372,849,1169,4101665,1056427
986513,986722,86,6608,3,17,0,4,129,27
65350,95,212402,8197947,19,1335,784,2489,5059562,1067840
800434,54,172292,7071092,28,1160,638,2331,4428362,1068542
902060,64,211344,8842627,22,1351,793,2472,4564763,1068036
200883,93,238867,4903537,31,1475,860,1141,3794744,900178
318536,317006,273,6610,8,31,0,11,186,53
614029,48,329739,10739802,23,1540,877,3057,6203051,1068257
36626,30,61854,1858123,15,608,224,949,459718,140777
825355,825380,57,5336,5,19,0,5,156,32
508499,508499,10,0,0,2,0,0,0,1
254118,16,29852,362620,18,407,108,156,45763,17905
47344,47329,112,5771,3,28,0,6,120,38
175471,27,275332,5848281,26,1490,872,1784,4107316,1058486
508499,508494,303,3124,2,10,1,2,57,13
244709,234115,37,4606,3,14,0,3,181,5
699280,695292,419,8912,7,19,1,10,168,57
297989,303818,124,9146,4,18,0,8,171,60
100519,100506,80,5652,2,17,0,5,119,39
711605,41,226541,7376480,24,1441,829,2261,4492937,1067654
687648,60,237085,6937558,30,1317,793,2335,4675575,1068650
508499,9,199181,7627077,30,1362,744,2789,4253045,1068162
100519,100467,105,7985,4,24,0,10,151,53
273644,58,129340,3026017,24,879,460,921,1142902,282147
703180,33,234442,7170482,25,1472,852,2503,4382782,1067227
703180,47,223627,7222327,20,1350,829,2269,4385520,1068508
41108,9,50468,1974579,22,608,198,1019,481976,147696
530071,41,230067,5806298,18,1312,802,1653,4682146,1067118
532543,553535,78,6583,5,23,0,5,95,27
917724,26,50862,647223,19,444,149,274,138631,42148
189499,187852,48,5674,4,15,0,5,91,28
1006087,62,208723,7218927,26,1351,772,2144,4389847,1067571
85853,85898,122,8277,4,18,0,7,201,50
580099,4,242493,10292061,28,1651,942,3129,3674692,1067015
508499,508489,43,2958,2,7,0,3,51,11
200883,85,240118,4865118,27,1468,860,1137,3770364,893342
290177,69,245787,4631338,25,1499,879,1095,3482101,811524
5369,66,232067,5841459,22,1395,860,1833,4274629,1065817
993379,992377,455,4267,3,19,0,5,107,19
699280,91,227919,7114370,33,1407,827,2279,4366206,1069151
993379,74,208865,6883583,22,1309,775,1977,4303443,1068056
47344,47222,95,7499,3,20,0,6,158,53
614029,73,266023,10733073,25,1541,879,3086,6202743,1068134
935827,935752,152,6732,5,31,0,7,213,79
760369,59,207609,9608090,30,1339,771,2664,3777957,1068078
9447,52,222429,5521173,22,1385,821,1600,4426618,1059791
993379,992368,793,9362,6,45,0,8,505,120
65350,6,220437,8182453,28,1470,806,2705,5058581,1067390
800434,70,173211,7129900,31,1164,639,2340,4429332,1069067
692951,688585,88,6109,6,18,0,6,57,13
299186,63,213118,9487586,24,1343,803,2799,4664927,1068385
535507,535577,248,4602,2,19,0,3,107,23
614439,58,231193,10737492,25,1539,887,3159,3648747,1068277
783759,23,218630,6722602,32,1394,800,2178,4518180,1067671
290177,8,251077,4679527,32,1618,899,1695,3496779,816266
755629,755725,266,8951,2,28,0,5,247,80
5369,82,233907,5827466,24,1400,862,1826,4273889,1065474
193076,200819,18,4520,4,13,0,4,61,14
935827,18,199851,8049236,30,1387,749,3118,4713972,1067054
189499,189538,107,9158,9,19,0,12,164,58
902060,895963,422,8113,6,24,0,14,201,73
254118,254107,129,5109,2,19,0,4,130,35
894188,18,214060,8800487,34,1421,801,2607,4295327,1067054
779943,75,209508,6698936,24,1285,777,1952,4221240,1068074
783759,783782,1839,2228,1,4,7,1,21,2
800434,800527,71,9969,10,31,0,13,307,124
1006087,6,217567,7233048,32,1485,796,2317,4390732,1067975
614029,613966,917,1630,2,7,4,3,3018,6
825355,21,204560,7256727,36,1495,722,2700,4355204,1067341
551891,25,219320,5831785,33,1427,809,1933,4395322,1067148
986513,45,212894,7082215,22,1343,787,2035,4648109,1067811
614439,20,239285,10700008,32,1669,911,3395,3646772,1067351
340368,100,189988,6909121,21,1250,712,2091,4323493,1068090
800434,800125,117,6548,6,25,0,9,203,79
34434,88,58101,2250100,17,486,213,658,539620,165521
880030,84,231032,5905787,27,1373,856,1873,5197641,1066327
711605,707059,155,4622,2,19,0,5,108,30
935827,43,234725,8113993,28,1280,727,2892,4718023,1068595
902060,30,218128,8806135,27,1475,816,2702,4562797,1067125
171130,171387,74,9992,2,15,0,2,55,15
508499,508470,391,4170,3,16,1,6,87,23
5369,62,232288,5843124,22,1398,860,1807,4274742,1065868
535507,535415,583,9569,6,44,1,8,277,84
847526,32,197253,7361886,29,1350,730,2449,4564929,1067143
5369,5366,229,8410,2,11,0,4,43,9
204359,18,227297,8270953,31,1448,863,2688,4276748,1067054
988292,1011541,212,7858,7,30,0,7,129,35
926502,14,197354,7825564,35,1249,738,2714,4210681,1068778
950973,73,291714,7094512,23,1366,825,2493,4349102,1068134
5369,30,240004,5792029,27,1523,884,2036,4271076,1064220
36626,76,46008,1997642,19,435,166,967,481242,148491
825355,23,206634,7267783,40,1498,723,2705,4355957,1067671
1016318,71,150341,3353899,27,961,553,1000,1527612,387357
895202,895260,103,6932,4,30,0,6,40,9
800434,51,169991,7056751,25,1159,635,2308,4427662,1068210
951830,951805,566,9709,4,18,1,10,165,61
711605,89,227218,7381656,24,1436,834,2282,4493241,1067799
813137,33,181256,7245697,38,1299,653,2725,4610215,1067227
554440,89,214328,6215062,25,1309,793,1851,4439206,1067799
47344,47363,79,6980,3,15,0,10,144,48
933034,64,196133,7895152,28,1263,724,2711,4315394,1068036
65350,44,211617,8192751,18,1337,781,2466,5059262,1067702
699280,17,256893,6978404,30,1512,847,2471,4362012,1067107
106198,106231,338,4103,3,31,0,7,165,50
800434,800448,32,930,6,13,0,6,39,7
106198,96,255632,10419804,23,1296,734,2943,3685516,1067915
397929,26,88387,2413994,23,762,322,681,603244,186626
684620,54,224411,7208404,27,1365,826,2249,4436023,1068542
926502,85,252919,7783020,27,1238,733,2740,4208979,1067954
933034,933040,821,453,1,4,2,1,46,2
500214,81,208648,4246837,22,1265,748,987,3157027,745968
500214,87,208784,4244587,21,1265,749,986,3156367,745744
1042694,53,278665,6346296,24,1521,897,1512,4017315,1037258
813137,813092,686,7904,16,55,0,18,256,61
641635,93,247473,5912101,23,1509,895,1419,3994537,1028066
318536,316980,185,2478,3,13,0,4,80,17
199208,74,227684,5155888,16,1363,824,1195,4449494,948828
935827,15,200857,8125305,37,1286,733,2885,4718374,1068744
816170,816163,181,2788,3,12,0,4,61,10
663551,17,221881,6811645,27,1416,813,2486,5475416,1067107
951830,82,222982,7136254,24,1355,814,2537,4687736,1068016
779943,13,213398,6736912,29,1288,782,1927,4222684,1068791
9447,9453,117,6356,6,15,0,6,82,24
800434,65,171134,7072410,27,1159,638,2329,4428422,1068574
816170,816234,245,7143,5,23,0,8,221,53
926502,50,191836,7786381,26,1242,730,2719,4209137,1068028
692951,17,221918,7209233,30,1401,793,2807,4915410,1067107
760369,101,208923,9633058,31,1338,775,2693,3779090,1068628
36626,35824,194,8628,3,19,0,4,200,73
204359,6,231131,8287123,35,1468,864,2698,4277461,1067390
993335,991169,149,7308,4,27,0,8,150,44
500214,95,209383,4242425,21,1265,748,987,3155705,745521
500214,33,180715,4290747,31,1265,645,1589,3172853,751019
614439,4,245108,10684088,31,1653,912,3388,3646046,1067015
100519,100524,89,1739,3,13,0,5,55,13
254118,27,22309,154207,11,393,82,78,21050,8030
926502,39,192485,7799864,27,1244,730,2716,4209698,1068289
500214,19,183448,4286043,31,1265,650,1584,3170973,750428
287408,287433,131,5905,3,19,0,8,163,57
894188,95,209953,8832151,29,1306,780,2401,4297023,1067840
822173,822188,60,5519,2,12,0,4,71,18
171130,21,241341,6033863,30,1532,875,2174,4353657,1065490
41108,13,65215,2057981,21,511,178,1058,493316,151743
385787,385787,8,0,0,2,0,0,1,1
98654,96,213632,10255306,33,1428,791,3145,3694911,1067915
380831,19,223644,8600540,34,1512,819,2926,4590988,1067145
100519,101011,49,4122,3,13,0,5,88,28
1040535,37,249564,6268494,28,1533,894,1468,3963557,1021659
825355,823675,253,9844,5,40,0,12,353,97
100244,114729,2502,4825,5,21,8,5,89,28
800434,48,171021,7059845,23,1154,637,2303,4427761,1068257
614029,613688,2103,8706,4,43,4,8,14756,121
318536,31,246362,7874330,33,1334,702,2610,5320845,1067207
65350,65343,121,6561,3,20,0,6,100,30
580099,89,249808,10323455,22,1534,920,2918,3676362,1067799
106198,100,210607,10427713,23,1295,735,2947,3685884,1068090
193076,78,237575,4827058,25,1475,852,1045,3753271,878458
935827,90,192621,8065572,24,1275,723,2886,4714884,1067396
816170,816073,699,7973,5,26,0,8,339,64
535507,535521,408,6190,3,23,1,3,148,38
614439,11,236355,10763884,33,1543,895,3155,3649754,1068782
933034,48,196288,7906371,27,1260,724,2706,4315853,1068257
674316,40,225339,7050719,24,1415,833,2442,4500162,1067612
318536,316956,25,1048,2,6,0,2,38,5
175471,1,600371,5802117,17,1371,845,1184,4098162,1055130
244709,35,258825,5895511,24,1434,865,1227,4374071,1060096
122230,18,224043,10256339,30,1497,823,3065,4365318,1067054
9447,15,231617,5562485,35,1399,829,1594,4436027,1063254
779943,9,216544,6703398,28,1401,798,2172,4221423,1068162
902060,29,219257,8808294,29,1480,816,2704,4562859,1067154
703180,29,229347,7166674,25,1474,852,2503,4382616,1067154
1023247,84,33116,1144216,10,277,105,296,247805,77201
122230,117273,5,2127,2,5,0,2,27,4
935827,935747,188,5988,4,29,0,11,182,68
521023,19,225522,5717995,27,1454,804,1875,4775935,1064830
950973,7,229782,7063216,30,1499,845,2702,4347330,1067310
880030,880040,27,3835,4,14,0,5,65,14
663551,64,218142,6848837,21,1302,791,2260,5477885,1068036
902060,32,219080,8807280,28,1476,815,2703,4562833,1067143
614439,614498,162,5695,4,21,0,5,94,27
264321,77,215137,6751938,26,1319,797,1884,4352306,1067875
521023,12,222378,5792542,30,1347,788,1643,4781395,1067303
1016318,65,146872,3288275,22,951,547,988,1479941,374461
291357,62,244507,4826851,17,1486,893,1113,3583608,862691
244709,18,331759,5957361,32,1549,891,1850,4384186,1063929
1016318,4,130996,3223396,26,951,493,1194,1420003,359662
800434,5,178541,7023276,31,1286,660,2542,4425808,1067347
234671,48,258203,5960603,23,1438,882,1249,4163395,1063447
674316,60,227597,7095213,27,1415,837,2469,4502324,1068650
291357,99,247194,4815039,21,1491,895,1131,3575710,860492
65350,24,226789,8192607,31,1474,806,2708,5059255,1067697
755629,40,210676,9565242,23,1357,789,2524,3828600,1067612
200883,2,239473,4864015,26,1471,860,1133,3769800,893171
614439,9,239394,10731099,32,1657,911,3400,3648500,1068162
106198,103673,879,8665,5,62,0,11,515,175
254118,253993,66,2021,1,11,0,1,41,6
813137,813127,43,2395,5,22,0,5,90,12
318536,72,182681,7905977,27,1205,681,2402,5323088,1068046
614439,38,229636,10718341,23,1538,885,3154,3647916,1067884
41108,85,60403,2027461,17,511,183,1016,490477,150697
385787,386249,42,7904,1,4,0,7,100,25
530498,79,225514,5932913,26,1376,831,1678,4527850,1068658
825355,94,189773,7280913,27,1357,700,2466,4356696,1068013
816170,90,187308,7208453,21,1267,707,2456,4383733,1067396
554440,18,238258,6184844,29,1423,814,2060,4437612,1067054
4846,8,258861,5432402,25,1587,965,1772,4345570,1042410
988292,11,219827,7045168,29,1363,788,1978,4887453,1068782
984210,22,254950,5345363,31,1520,836,1949,4107992,978939
106198,26,202099,10383457,28,1412,756,3149,3683534,1066988
193076,23,245252,4842323,32,1607,873,1640,3756941,879727
684620,65,224054,7209722,26,1364,826,2247,4436083,1068574
800434,47,170375,7069946,26,1162,637,2306,4428289,1068508
517679,97,198904,7511156,36,1223,733,2285,4392918,1068736
106198,106223,782,5103,3,35,2,9,228,73
