from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
254118,36,11521,417970,17,407,0,141,53035,20876
254118,253982,3826,9430,4,37,5,8,380,135
993379,992087,762,9528,5,45,0,10,366,131
692951,83,50543,7556458,19,1280,0,2683,5186734,1066604
4846,22,71687,5770714,36,1604,0,1770,4707689,1058531
1006087,19,62389,7699909,34,1467,0,2288,4952952,1068142
800434,800507,79,8158,7,25,0,12,181,70
234671,22,83968,6440471,41,1577,0,1971,4768320,1065512
451866,30,63037,9488579,43,1525,0,3468,5114037,1067967
551891,66,52174,6117057,19,1287,0,1744,4900075,1066456
935827,11,51755,8686305,32,1280,0,2674,5013608,1068786
551891,53,52772,6154439,21,1292,0,1750,4902854,1067775
988292,19,64109,7477351,30,1472,0,2296,5441853,1068142
47344,47364,69,8122,1,16,0,10,224,65
614439,64,60054,11007621,21,1537,0,3623,3791146,1067661
200883,21,74365,5294325,43,1605,0,1667,3651858,886322
902060,16,56139,9336479,29,1360,0,3387,4748855,1068788
122230,61,57388,10721667,29,1388,0,3433,4232304,1067980
933034,919540,223,8301,6,31,0,11,165,61
847526,52,46381,7697315,19,1223,0,2461,5346988,1067433
85853,85856,1247,6916,5,22,3,8,82,26
825355,55,54279,7736129,26,1365,0,2346,4830682,1067803
100244,70,56002,10697081,35,1298,0,3381,4355564,1067869
988292,17,59964,7473425,29,1471,0,2295,5441667,1068053
1006087,36,57356,7713800,30,1359,0,2146,4953446,1068400
950973,950885,199,9724,6,22,0,8,197,49
36626,38,10913,2200327,10,435,0,875,544456,149643
234671,234708,71,4896,3,15,0,5,110,29
297989,62,53462,9446554,20,1392,0,3079,4565819,1067252
535507,535584,254,3951,3,22,0,4,77,18
34434,16,15758,2408043,21,494,0,770,596683,164018
1023247,22,14237,1278957,28,530,0,444,287651,83929
935827,95,47479,8571303,22,1272,0,2543,5008507,1066198
535507,100,76136,6443692,19,1340,0,1831,5605470,1066563
