from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
2270647,1538465,528187,2707568,31,1956,811,799,2984112,587386
1041063,1041063,250,0,0,2,1,0,0,1
1986565,2025225,318114,4448251,27,2066,247,1344,2135276,523899
935740,2270647,567117,9236047,23,3052,354,3869,8805321,1669592
1986568,2392401,1099457,18963241,33,4452,1538,7331,13238810,2750583
1082914,2270647,504713,6845089,27,2868,292,2793,7638564,1480177
2440456,1467432,497757,2853324,21,1925,363,794,4925208,805990
1178261,2392401,1071991,12781960,45,4121,1322,5132,16282931,2750583
2025225,935739,275558,4188433,21,1941,227,1094,5093748,875838
1178261,2150691,57229,134271,22,291,125,130,46517,14057
1986564,1082914,560034,6056042,31,2714,618,1690,8403370,872291
2440456,1750425,1037395,5940965,24,2745,854,2424,10337456,1746440
2025225,1984350,316951,4183454,19,1941,399,1092,5085363,874374
1467432,1538465,454167,2648089,23,1930,347,753,3358323,575413
2632763,2632558,1001,10206,1,8,2,1,21,3
2270655,1178261,724229,3670252,26,2884,1048,1861,5228449,878942
1718745,937959,1071290,17852775,30,4012,1495,6738,12327047,2693365
1954250,2089633,860689,12808102,24,3671,1533,5530,7766406,1856958
937964,1178261,1085211,6250777,30,3883,1206,2266,4483634,989199
1082914,670430,1051519,14946503,40,4025,1345,5790,13457319,2633287
1041062,1954249,1133136,12892786,25,3669,1416,5526,19365731,2633494
1358557,670430,1152639,11814301,33,3582,1448,4590,14909356,2633287
1082914,937964,623888,6138653,36,2697,869,1762,6799124,1309482
905515,2392401,83037,1048468,21,588,202,555,585943,121215
905515,905515,920,0,0,2,2,0,0,1
1750425,1718558,243577,3469212,22,1246,494,1325,2466482,526325
2632763,1178262,580037,2497843,23,2272,796,1168,4212648,599156
1750425,1467432,595880,8225132,22,2656,545,3106,7196233,1386940
937959,2632763,270903,4153507,22,1796,184,1159,2166734,480921
2632763,2705237,184098,1438264,17,1044,211,472,1071526,177020
1467432,1750425,595179,8100611,23,2656,676,3191,14403489,2062179
937961,1467432,388407,8978648,19,2418,308,2363,8990074,1540380
1467432,2150691,773061,3732433,15,2866,693,1902,5281243,900915
1986565,1718558,1321536,18229509,32,4081,1261,7159,12272401,2657203
1178262,161593,206445,325791,23,881,425,333,470063,108492
1954250,2270655,852136,11212454,21,3695,1210,4069,5329149,1386135
1309296,937964,674630,8625906,30,2885,537,3261,15155571,2465577
2392401,1178261,1036556,12738472,44,4116,1052,5404,7802207,1551707
1178261,912826,1313378,10872093,32,4101,1716,4375,15505521,2504337
937959,1178261,1041226,6416828,31,3923,1411,2309,4920238,996552
1178261,1954250,1065783,11790333,38,4103,1386,4726,15930405,2633503
2632764,937962,347049,4299515,24,1797,525,934,7602817,1200029
1178262,670430,1286373,11784703,40,4097,1704,4873,15337215,2633287
1358557,701753,784983,8839886,24,3366,1155,3604,12770032,2114543
2632763,937959,310279,4276347,25,1795,375,934,9441405,1197501
1750425,1178262,1127042,8765118,31,4071,1846,3935,7980364,1551547
1178261,1178261,335,0,0,2,1,0,0,1
1082914,2025182,459149,5221005,36,2421,648,1770,5727742,1100871
1082914,937961,978986,6277245,36,2845,443,1770,6932725,1338322
2705237,1954250,848686,13248189,32,3671,1334,5680,24742356,2633503
1358557,1082914,730871,8233211,26,3308,901,3134,11851800,1947723
1986568,2270647,395954,8955736,17,2434,385,2351,8798576,1559297
1954250,937959,885614,18114267,32,4328,768,6779,11090026,2693365
2632764,2632763,27,834,1,4,0,1,20,2
2632763,1082914,264628,3046122,26,1681,202,975,7723958,903632
1954250,1984349,1077219,17214589,27,4224,1639,6691,10841884,2612498
1178261,1954250,1063091,11790333,38,4103,1228,4726,15930405,2633503
1954249,671842,114570,2434073,24,1257,54,800,1277597,283133
1750425,937961,974336,15182334,34,3865,994,5873,14464551,2695594
937959,937964,12806,303792,16,123,37,61,9006,3658
161593,2440456,782933,3036730,17,2637,1059,1467,4504362,876321
1984349,935735,4983,101157,7,29,13,17,582,292
2632764,1954250,1130228,14217658,28,3789,1286,5857,14498023,2633503
935735,1954249,1369376,17299792,28,4270,1423,6702,13146937,2633494
1041062,1538465,505740,6078136,21,2300,409,3228,16504192,1862850
937959,1461699,529286,8683218,20,2752,592,2272,8490325,1493627
1178261,1178262,1470,7588,12,46,5,17,200,45
2279112,1984350,910387,8478605,15,2995,487,3505,13407979,2193532
1082914,1041063,346062,3725337,32,1946,376,1256,4023980,776978
2440456,1041063,691694,3900430,21,2001,354,2090,6962984,1184539
1082914,937964,604781,6138653,36,2697,738,1762,6799124,1309482
1358557,935739,600570,8154754,12,2695,1089,2224,11690283,1919634
1082914,1178261,802431,3221797,37,3038,1101,1077,2412017,522120
1467432,1954250,843706,11062513,26,3696,1113,4030,16791668,2610823
1082914,1750425,1031506,11986559,31,3911,1561,4795,12297123,2281696
1718745,1309296,810140,8937643,22,2890,988,3371,3923923,959818
487070,2632763,629517,6747298,14,2409,703,3199,10034923,1665188
2150691,1082914,676850,3166379,20,2773,947,1242,4602277,906979
937957,912826,1017141,17111188,23,4133,1370,6583,12155319,2504337
2632764,2632763,29,834,1,4,0,1,20,2
1461700,1178262,867096,4433748,22,3405,1373,2222,4219425,867799
2089633,1538465,554396,6078016,21,2300,746,3226,12521064,1862792
1641213,937964,999772,14393755,35,3697,1182,5602,11828251,2673536
1718558,937959,983329,18275059,34,4084,1230,6891,11190555,2693365
2342647,2279112,777317,7726819,23,2976,886,2918,5538990,1368634
1750425,2025182,734479,11636865,28,3293,1054,5229,12376566,2193346
937961,1178261,1161983,6545798,27,3913,907,2366,5860311,998883
937959,1954250,1007516,18020479,32,4326,1229,6939,13150045,2633503
937961,1178261,961075,6545798,27,3913,1246,2366,5860311,998883
1082914,1082914,739,0,0,2,2,0,0,1
2440456,1082914,688112,5959359,27,2755,603,2352,10369071,1752019
2705237,1178261,384425,1644538,30,1884,495,1050,1815245,331760
937961,937961,784,0,0,2,2,0,0,1
937964,1718745,820430,17621484,27,3969,571,6976,12150177,2607797
1041063,2392401,854482,13889759,34,3803,1145,5938,17026464,2750583
2632763,487070,586914,6741565,19,2384,569,3273,13059218,1795611
670430,1178261,1163701,11661368,38,4104,1749,4943,6838626,1551707
2632763,937957,272381,4277598,23,1795,230,930,9442116,1197672
935740,1082914,454512,4998647,25,2306,645,1462,3908259,808292
935739,2632764,314528,3212996,19,1692,397,947,1521810,378687
1986565,935740,76089,1161261,14,508,83,329,133411,48585
1461700,2705237,408893,5877586,20,2192,615,3039,6060756,1274410
2279112,1082914,587132,6057801,25,2714,419,2597,10292957,1627633
935739,2025225,343308,4122297,24,1962,418,1201,2586644,587470
1178262,2150691,55328,130599,18,285,127,121,40754,14057
1986565,1750425,944854,15068903,27,3873,998,6096,10914276,2281696
937959,2089633,382634,5131771,20,2188,456,1415,2991134,656924
1954249,1718558,210194,2271822,20,1181,465,830,1126149,256695
1954250,2025182,844670,14629589,28,3745,1442,6193,9119746,2193346
1984349,1467432,594302,9294455,29,3004,557,3898,8289127,1712350
1178261,2632558,557131,2546367,24,2281,751,1240,4440038,714338
1718745,1467432,980882,10956364,20,3380,1055,4029,5758686,1386940
2705237,1718558,820596,13446893,34,3427,1413,5904,24833737,2657203
1718558,1041063,790309,12969397,27,3427,1079,5642,7904729,1857156
2270647,1986568,1027362,9347620,21,3097,758,2339,12465345,2307717
1984350,1984349,7277,58567,6,18,20,18,333,153
1178261,1538465,962725,4975642,37,3712,1043,2427,12104927,1650168
937961,2632763,328480,4282477,18,1798,412,1216,3272643,484179
