from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
80428,80428,703,0,0,2,2,0,0,1
12754,204743,113362,600213,23,896,176,346,759308,117109
80433,179317,159516,1445110,33,1477,388,594,937160,184318
204759,55465,93057,402156,18,963,227,281,304551,67425
12753,12798,3759,34676,9,47,11,11,422,149
94671,204743,105409,1163870,28,1031,240,539,838750,166127
224272,179315,156359,897340,26,1478,380,499,1008750,185137
224273,224272,3919,57819,8,77,11,21,3406,690
12754,235020,159284,506521,18,827,251,159,466061,79083
55478,12747,262811,509299,16,1535,428,255,757348,120724
224272,181734,151777,944077,22,1436,381,500,1127663,199932
80428,179318,137423,1150677,31,1462,382,604,796632,184855
179316,204743,48287,341531,27,661,92,192,169913,36693
12725,156738,121247,853258,19,1253,284,435,1393227,211642
55478,12745,176796,501408,16,1521,436,251,740898,118035
107768,179306,132658,817675,25,1219,310,460,1271933,179077
117138,55478,193289,570464,21,1638,461,244,194986,47146
12725,80428,282384,1090280,20,1611,471,434,1754324,246808
55465,80433,220276,1087035,22,1776,508,277,1541825,256486
55465,80428,224848,781655,13,1760,526,268,1402204,219957
235018,224272,219502,1109572,26,1782,506,436,1607465,208209
204713,179318,55489,392566,19,727,114,232,277160,62463
55434,12747,196670,512605,13,1525,418,253,1375201,121080
55478,12798,181088,487053,21,1514,445,245,713273,113363
106263,94671,66878,713718,20,623,179,128,471791,71658
179317,80433,160706,1520485,35,1477,380,654,1347004,260669
224277,224277,617,0,0,2,2,0,1,1
80436,80428,12624,374110,10,142,46,60,7455,3440
224277,4383,175425,1569000,28,1731,424,579,1498268,260999
224272,224273,3418,43195,7,65,10,18,1977,655
237330,204743,86523,947965,28,1067,185,398,514571,117828
179315,107770,124240,787786,29,1177,305,450,869849,169593
12753,204743,75652,578114,24,910,150,344,700543,113286
80501,235020,201922,1365381,24,1764,489,541,1764493,223532
80433,224272,183151,676497,13,1594,459,182,70284,22846
235018,80433,204452,1721864,35,1782,491,603,1816328,262804
224273,12754,190596,783551,19,1665,460,317,1015523,150733
80428,12725,193673,1027973,20,1646,455,413,648882,152625
107767,12725,86372,477173,25,698,214,281,347407,63723
12798,12725,9053,62988,10,90,26,23,1072,458
204759,55465,90949,402156,18,963,209,281,304551,67425
237330,179316,118609,948559,29,1282,277,371,515510,118023
55465,12747,197901,510636,14,1530,431,253,729790,120406
156744,80433,162776,1743279,34,1489,391,784,1335784,260359
55465,235020,186624,788390,23,1649,460,316,1410173,221507
181734,4383,120485,1255086,23,1245,285,445,1289722,245049
181734,179318,6090,114527,12,130,11,39,4981,2144
12745,94671,166467,964909,21,1453,412,376,1449087,233887
80433,235020,201580,1595321,29,1783,482,543,1150876,223065
80433,204749,122862,1301502,28,1262,270,523,721237,145280
204713,55465,118499,410670,17,1016,283,271,298427,67147
204759,181722,47298,415323,20,673,89,199,321556,71028
235018,12747,126164,555273,19,1040,318,189,163683,40070
204729,262060,89627,908790,26,1123,199,517,1372614,212708
224272,55465,151666,429018,12,1384,370,188,260377,52557
80428,224272,53319,336547,10,486,142,158,35291,12992
80436,181734,155302,1460392,28,1435,377,593,853121,195827
80501,237334,181081,1535897,23,1695,392,587,1874638,248679
12798,94671,169376,970297,27,1469,407,376,2225583,236255
55434,55465,4793,26890,8,49,10,8,27118,121
263202,55465,174619,888302,23,1594,431,532,787801,121163
131009,80501,223105,639478,12,1647,490,208,789419,151791
156738,263202,124502,1125621,30,1304,287,566,959588,202692
55465,235018,197514,793099,23,1648,488,317,1416471,222619
224272,55465,161065,429018,12,1384,406,188,260377,52557
55465,80501,204201,812107,11,1757,506,256,1435345,226867
12754,263201,140982,702871,22,1403,333,275,1084998,159928
235018,235018,681,0,0,2,2,0,0,1
12798,55465,153757,426474,18,1384,385,225,256138,52278
55478,80428,211561,775611,15,1763,531,268,1415124,219006
204713,80433,142803,1381950,25,1299,323,525,1253068,258631
204749,224272,115970,695342,15,1262,276,367,790445,157693
235018,12747,128776,555273,19,1040,327,189,163683,40070
204749,204759,1578,6812,4,18,4,4,30,7
107762,80428,189168,1063910,19,1562,483,495,1448115,238532
204759,235017,118541,832865,21,1134,253,433,1278617,197150
12754,235020,109911,506521,18,827,269,159,466061,79083
181722,179317,16893,136760,12,152,48,48,10357,3622
179318,107767,126817,784796,31,1176,314,451,933834,170630
179318,235020,119058,822691,25,1189,288,405,996517,181457
179318,55465,161944,507042,26,1313,347,359,466050,88987
235020,107770,154467,721829,17,1078,349,214,571403,90065
55478,132718,108529,349068,17,961,252,193,321206,56816
237334,12798,148753,760599,20,1462,360,268,228948,61563
204743,55478,105065,395588,20,945,227,283,319841,67452
107767,235020,97904,609228,29,795,241,290,650828,105620
179316,80433,210755,1527920,36,1479,357,656,1346339,260669
235017,55465,195493,807112,23,1647,494,338,621528,117329
80436,55465,261118,945333,20,1775,513,281,234104,66328
224272,204749,121453,682037,14,1262,298,289,650875,121034
181734,204759,56270,366345,20,668,111,186,187629,45682
80428,12747,189823,1023933,19,1640,477,409,642722,151334
179314,12745,114811,603210,20,1145,280,331,681371,109231
12754,55465,167268,454524,17,1448,418,235,298038,56203
179317,156738,64339,402466,17,857,131,185,311701,59090
238703,179318,102350,867346,25,1139,237,371,823923,117946
55478,12747,174865,509299,16,1535,416,255,757348,120724
55465,235020,218470,788390,23,1649,487,316,1410173,221507
235017,94671,181542,1160720,26,1543,460,407,1238049,222656
204743,94671,96444,1161068,23,1031,216,537,1228613,248186
55465,204759,89615,413832,23,915,210,276,477408,82151
235018,224272,197374,1109572,26,1782,485,436,1607465,208209
12745,12798,5800,48773,8,67,17,14,1121,478
55465,4383,174244,1233705,27,1585,425,465,1550108,260285
55465,12799,180870,503392,20,1532,434,244,715195,117866
55434,94671,179618,859734,21,1541,457,326,2169053,235255
179318,263200,85402,876971,31,1127,162,475,1126358,196906
12798,204749,83128,574859,22,910,185,339,1411572,112832
224273,179314,155031,898947,29,1476,378,508,1212881,186362
131009,12798,181532,576501,20,1513,440,239,651855,128340
204759,224273,115045,689017,15,1261,275,374,960095,156169
107768,235020,98382,613542,29,795,240,290,587929,105620
179316,12725,115664,596716,22,1132,271,317,574372,108684
204743,55465,96152,393787,18,942,237,281,317385,66931
80433,12753,203753,1301821,25,1710,480,395,722114,145394
12747,80436,194413,1366262,26,1699,471,444,2214539,262043
204743,204743,18,0,0,2,0,0,0,1
131009,156744,148452,944140,24,1376,372,550,1223913,235612
235017,204749,113250,921643,26,1133,273,410,817093,151562
263200,94671,188390,1385646,24,1493,374,603,1147446,239306
94671,55465,196808,866590,23,1543,464,344,269100,66005
204759,224272,121970,696596,16,1263,298,369,977196,158153
80436,235018,205051,1576935,28,1781,495,543,991862,224054
55465,262060,174318,877991,23,1590,422,479,1483154,238486
181722,107767,127525,845964,26,1175,310,442,874138,170630
80428,55465,225077,673385,18,1760,544,291,244317,66637
224273,12725,185546,781407,18,1666,457,318,1010974,149967
263200,80433,186807,1838865,32,1726,442,798,1208390,263076
179318,204759,49259,338741,28,663,92,193,169999,37531
80501,12798,194421,1066790,22,1607,470,388,1322663,144054
238703,179318,103780,867346,25,1139,246,371,823923,117946
224273,80501,107700,500632,12,939,266,161,536520,68854
237334,80428,181219,1608313,33,1698,437,611,1242760,251546
263202,12753,144317,698885,24,1430,353,288,276730,61273
204759,179317,55252,359202,21,651,126,214,242068,54722
107770,204729,100839,777880,31,1057,230,464,872838,166303
12754,80433,194731,1394813,27,1696,468,442,2205697,262600
80433,263201,188692,1753337,32,1727,437,688,1246232,247347
55465,12754,192108,516663,17,1528,425,247,742690,122539
204743,80436,120259,1374919,23,1263,266,556,1254710,258635
224272,263202,174484,1215749,26,1728,421,595,1874023,247779
238703,80433,184263,1820440,35,1698,429,618,1595909,263076
12725,179318,140881,638848,21,1174,263,317,832532,134334
4383,179318,120067,1206482,29,1287,285,442,435553,106252
156738,12725,123467,832281,19,1251,285,405,465124,116167
224277,204759,119238,688296,17,1275,277,293,750784,121463
12798,12799,827,15002,1,9,3,1,37,10
204729,204749,3388,24906,8,54,7,15,383,168
204749,235020,109784,837825,22,1135,243,436,1022764,198093
12725,80433,183266,1395660,27,1698,415,443,1800332,262688
80433,179314,155923,1440556,34,1478,376,594,931095,183121
80433,204713,135669,1293233,23,1299,319,509,699735,142438
224272,179306,153479,905341,24,1494,381,511,1023147,187675
156744,235017,143824,1062485,22,1360,346,470,802143,183898
263810,12745,118934,585981,20,1174,285,346,511546,100860
55478,12799,178687,502055,22,1539,433,246,742350,118284
179318,12725,114768,589891,22,1116,260,316,582010,108684
80436,179317,151107,1422015,32,1476,358,593,790619,184318
237330,80428,186239,1604669,32,1697,442,610,1154814,251546
55465,80433,207077,1087035,22,1776,488,277,1541825,256486
55465,80428,210733,781655,13,1760,534,268,1402204,219957
55478,131009,86473,278883,12,659,207,146,153260,30847
235018,12745,129640,559319,19,1060,344,194,169395,41153
12725,55465,173722,455371,17,1452,442,236,302300,58303
204729,204713,7560,19153,9,41,19,17,222,93
107767,55465,176981,540573,24,1513,447,317,469394,82723
12798,235020,131762,526100,20,1087,331,148,746674,93386
204749,263810,66850,493410,21,791,108,279,438518,93530
80433,235017,202475,1591035,28,1781,484,540,1147409,222230
131009,263200,173521,1028670,24,1613,403,536,1262512,246744
55434,55465,3105,26890,8,49,10,8,27118,121
204749,179317,52457,359876,21,651,123,214,248800,54829
12754,80436,190189,1363705,26,1695,451,441,2204187,262009
131009,12798,161571,576501,20,1513,412,239,651855,128340
235018,12754,120588,547045,18,1020,307,187,151155,37793
238703,235020,61293,531396,17,604,153,247,137873,33352
55434,132718,101081,352374,14,947,257,191,881890,56769
235017,131009,192501,937798,21,1668,480,396,852129,157162
179318,107768,121290,784931,31,1176,289,451,934069,170672
262060,179314,105117,880348,25,1154,244,476,626285,119802
132718,179314,97595,445460,25,1047,233,239,829432,97075
237330,179317,123937,956345,28,1280,271,371,529904,120689
204759,12754,81691,586746,18,888,188,330,618533,125396
235017,224277,201003,1102227,27,1793,501,437,1160340,207506
80433,55465,216901,968428,21,1776,527,282,269805,66328
55434,263810,154249,622067,22,1506,375,395,1692607,163885
107767,224272,178406,737987,28,1600,451,406,964122,151425
237334,94671,163141,1467098,23,1481,400,598,1184021,239784
55465,55465,607,0,0,2,2,0,0,1
80433,235018,204442,1600030,29,1782,499,544,1155100,224054
55478,80436,219008,1049883,23,1778,523,276,1571011,255436
12747,179317,108753,639948,20,1174,255,318,940064,133717
117138,80501,198383,863883,13,1479,439,304,727175,135532
235020,132718,152970,612768,15,1448,371,288,375199,55567
55465,179318,147947,556711,26,1335,346,349,829910,137497
179318,224272,152952,852882,25,1478,391,535,1048529,190138
12753,55465,194576,432425,18,1390,404,233,278086,54302
12747,55465,184905,457081,17,1464,411,238,295427,57710
55434,80433,249158,1086900,23,1774,489,326,2252610,256461
235020,12747,129715,560537,20,1058,318,190,285610,40071
55465,80433,196651,1087035,22,1776,443,277,1541825,256486
263201,204729,111498,900765,29,1126,207,524,590771,126413
235017,80428,207600,1440636,26,1765,504,602,1343890,251840
12798,204759,86788,576198,25,914,200,338,1417962,113397
80436,204729,125052,1282326,23,1308,288,512,611479,146670
107762,235020,85594,566370,13,753,229,185,515756,84998
12754,80428,193071,1089433,20,1607,464,433,2142245,246628
80428,235020,205097,1300278,26,1767,500,552,992547,223532
107768,237330,219173,985343,23,1423,356,455,1509091,220512
107784,4383,159021,1363397,28,1463,376,483,2220056,263011
55434,224272,138913,438273,17,1357,403,212,1156684,92819
80433,55434,202040,956586,20,1774,496,276,254660,64286
204729,132718,61178,438562,16,904,115,287,336467,76175
12799,263201,147195,726200,25,1463,354,265,1063501,175014
235020,55465,205155,816749,25,1649,500,340,739762,117329
106263,237334,151501,1015249,18,1454,367,386,968371,163428
204749,204743,1623,14375,7,28,4,7,99,33
204759,224273,115289,689017,15,1261,278,374,960095,156169
224277,55465,162541,433530,14,1392,399,190,278197,52557
55478,80428,214374,775611,15,1763,525,268,1415124,219006
179314,179317,1619,22789,5,20,5,6,69,20
224273,237330,176121,1220584,22,1711,417,502,1539117,248434
181734,204729,59423,384298,21,737,135,202,214518,50324
80436,80501,29036,596801,17,238,79,55,46160,17291
238703,224272,176489,1178238,27,1698,430,508,1393113,214019
55478,263201,180373,881807,28,1596,428,484,1511736,239588
12799,107768,136200,549012,32,1129,341,242,565508,100716
107767,204729,102234,779746,32,1058,241,465,1068866,166303
235017,12747,128224,550900,18,1016,322,188,154982,40072
237334,55465,183191,959312,32,1580,424,424,537359,120482
117138,12798,275821,896965,22,1536,435,350,792867,146307
181722,179316,17602,128974,13,156,54,48,9238,3233
80436,204759,119615,1279746,30,1262,262,521,606622,145760
263201,55434,176100,888430,21,1591,433,534,564587,121847
204749,235020,102407,837825,22,1135,232,436,1022764,198093
