from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
1127459,1048584,494203,10058379,36,2163,1476,2621,9380047,1875122
1239740,251579,179,7138,6,35,0,7,266,77
236818,1238775,1369,7560,4,23,1,6,184,59
1070778,27706,714,6592,5,43,0,7,216,69
430478,1393781,132,6490,8,24,0,9,99,32
908962,1048607,438199,8107010,25,2028,1416,1223,9672095,1782399
769788,42,409438,8761309,26,2015,1334,1924,8525569,1840451
60050,41,436098,9366541,14,2091,1447,2533,8699515,1873420
584089,1048597,413406,3499380,16,1950,1376,931,3772473,819011
1237749,235518,315,3810,3,19,0,4,68,16
433386,1387914,304,6595,4,31,0,4,182,70
1089366,33,449967,11075351,23,2131,1467,3125,8192032,1872735
61981,3,460002,8958578,35,2141,1466,2330,9025973,1870341
1070778,1070843,173,2068,3,11,0,3,42,7
1137464,1154406,9,932,2,5,0,3,135,6
1237749,1048577,315781,4032568,20,1505,1087,1383,4035625,889843
1529280,1048612,369442,3555851,17,1571,1084,1009,3653567,805557
1378915,1048577,769985,10073568,15,2109,1461,1690,8197851,1861427
88755,1048599,445167,9446611,25,2158,1473,1818,8682166,1883146
1777428,907446,303,530,2,6,1,2,28,3
1750621,1048597,422401,8688674,18,2022,1387,2174,9215752,1874056
1640668,737112,115,6918,4,12,0,5,185,52
1792688,38,133951,2800846,15,621,395,447,461158,146114
751006,1048619,392382,8841366,15,1972,1318,1940,8771596,1847879
1310978,325341,59,8391,4,14,0,8,127,38
402518,37,406246,8438475,22,1962,1319,1895,8544829,1821782
1116335,1048580,502289,9517643,21,2155,1468,1883,8422665,1877267
1239740,1239739,844,479,1,8,2,2,30,3
477283,1048614,453999,10238386,28,2110,1445,2643,8662644,1873676
99519,1048594,455990,9657408,20,2154,1472,2463,8483982,1870911
1237749,235482,5687,9495,3,37,18,12,257,90
990542,1048610,482191,8731891,16,2120,1506,1421,9155761,1847974
1746351,14,417113,6356591,15,2098,1434,1497,9139597,1702928
202773,1211479,138,4778,3,16,0,3,52,10
1237749,1237749,6,0,0,2,0,0,0,1
272955,273195,83,7633,7,25,0,8,76,22
769788,1666881,10,4799,2,9,0,2,43,7
361765,15,486021,11869725,29,2149,1493,2645,8062379,1876246
202773,202756,193,8455,3,22,0,5,100,31
1750621,47,554038,8648771,18,2016,1377,2190,9212702,1872760
350534,350658,45,5060,5,14,0,5,101,19
433386,1048598,387985,3881254,16,1839,1265,1090,3565438,819426
1746351,1746358,154,2862,4,16,0,5,47,11
1717090,15,428698,8618316,20,2092,1431,2220,9144747,1873396
584657,1048602,386842,3279237,13,1779,1295,732,3677067,771475
950338,950329,318,9825,5,31,0,6,123,38
584657,1048598,387415,3420489,11,1779,1286,902,3864284,793122
326524,1048579,362819,3997962,13,1773,1231,1055,4784857,986145
1137464,1048606,443175,7409526,22,2085,1379,1808,9807957,1832871
1788164,920795,282,4052,3,22,0,5,120,30
99519,1048603,453005,9683808,20,2158,1471,2478,8485966,1871706
1847922,1048596,645369,7990078,18,2013,1418,1206,10688742,1845599
1608303,696948,142,6220,4,18,0,8,168,63
122512,1048602,473391,7208448,22,2148,1388,1884,9201635,1820691
433386,434739,33,3453,5,21,0,10,140,53
122512,122478,1319,8491,6,48,0,7,153,52
1497541,1499039,833,3619,3,14,0,4,62,12
1745633,1745585,140,9033,6,17,0,8,69,16
1169249,10,86013,2352958,25,441,220,409,921214,228971
1237749,235616,348,4126,3,21,0,4,71,17
433386,433398,36,2793,3,19,0,9,117,41
461414,18,382182,3657856,17,1793,1268,920,3639249,806469
1222063,1048600,410462,6542773,19,2027,1380,1520,9034227,1715588
1772876,1048577,461029,10484278,17,2147,1517,2983,8607925,1871116
1222063,1048613,408054,6563337,18,2023,1365,1515,9044700,1718178
1169249,1048618,88834,2115421,15,439,226,366,815923,198184
990542,990542,5,0,0,2,0,0,0,1
1067462,8,438302,9011546,22,2071,1434,1744,8364022,1867338
37011,1082473,725,5309,6,28,3,9,232,60
1063066,39,27173,1806955,13,285,97,246,89535,35311
1239740,237844,267,4872,4,27,0,6,144,36
1847922,998621,19141,3067,2,5,3,2,2390,5
1070778,1048609,439970,9454525,17,2165,1445,2431,8085279,1866503
1608303,1048603,443796,8749818,15,2054,1401,2342,8725206,1870446
224262,224330,16,6433,6,12,0,6,56,14
1200653,189428,1989,8930,4,62,0,9,267,95
952839,22,501886,8573842,18,2160,1551,1307,6630367,1252292
810474,810448,148,6319,3,15,0,6,152,44
1162277,38,484298,13600489,23,2201,1475,3290,7711435,1873080
1239740,47,311463,4005354,24,1501,1046,1350,4323032,883692
1222678,10,417578,6611491,30,2039,1375,1557,9517635,1717966
224262,1048616,467931,10915906,35,2174,1539,2369,8042372,1875806
1169990,1048610,77577,2005090,15,429,202,338,655178,168485
402518,402498,210,5856,5,27,0,5,74,21
1169249,1048588,56857,1981353,15,373,157,337,695288,177213
37011,36945,19,593,3,8,0,3,60,5
1499307,1048598,396123,8306577,16,1953,1323,1802,8682711,1832130
1608303,1048590,444363,8805205,17,2058,1421,2337,8731131,1872755
477283,1048594,448929,10197577,26,2107,1446,2621,8659529,1872408
1162277,1048617,465289,13597141,21,2194,1475,3291,7711179,1872976
202773,31,318729,5564746,16,1716,1081,1430,7502590,1515013
1237749,235512,213,2862,2,14,0,2,54,11
1628684,1,403257,9455003,15,2112,1346,2503,8237623,1857603
1237749,48,320478,3921779,22,1505,1117,1127,3973203,873284
751006,33,401347,8835913,15,1975,1318,1938,8770489,1847526
1746351,48,418322,6444020,20,2104,1444,1563,9166325,1709520
1746351,47,422709,6234589,17,2095,1430,1511,9091183,1691503
847029,32,458237,11897184,28,2171,1496,2666,7937603,1877254
1607781,41,459611,8944492,16,2148,1496,2402,9154646,1870793
1429120,477570,31,8325,7,16,0,7,85,21
37011,1078254,84,7137,9,22,0,10,285,84
1237749,235609,528,5117,3,22,1,4,89,24
1361892,1048611,399578,7270575,21,1999,1336,1598,8813235,1770681
1746351,17,426283,6311417,17,2100,1442,1499,9124134,1699148
1717090,50,564153,8667456,18,2092,1441,1681,9148978,1874855
1222063,1221779,820,8807,5,25,0,6,254,93
1777428,1048585,458998,9120472,19,2138,1555,1361,10071914,1847826
1717090,44,432244,8459008,20,2085,1420,2218,9129715,1868563
946745,1048597,473732,8656107,15,2082,1467,1345,9504684,1864455
99519,19,454155,9766021,23,2164,1478,2470,8491567,1874047
153758,43,81410,1912303,23,397,204,305,698848,167507
680704,1048585,412741,3410245,20,1967,1354,831,2906007,715343
739844,1048604,379986,6301028,30,1735,1125,2332,6940414,1493761
1239740,38,314258,4001904,25,1501,1041,1346,4321339,883260
224262,30,466629,10771368,32,2167,1523,2465,8032091,1871438
1070778,1070839,649,4939,5,33,0,6,145,43
908962,38,436027,8102457,23,2029,1416,1221,9670569,1781852
1777428,54,460101,8525055,18,2139,1539,1287,9826086,1768965
1067462,1084207,51,8416,5,22,0,13,139,45
88755,1048622,440263,9087255,17,2136,1464,1751,8651601,1870679
1529280,1529277,26,5164,2,13,0,2,45,9
1625010,726416,117,4647,4,12,0,4,53,13
357970,1048618,383524,7998119,15,1895,1265,2025,9528068,1868479
1019281,1048609,454117,8711259,13,2130,1517,1295,8844801,1765203
781315,1048589,462177,12093553,25,2168,1498,2147,7798344,1874618
1237749,235526,905,9320,7,37,0,10,249,86
122512,40,411251,6978436,19,2146,1384,1772,9107010,1796301
1777428,36,461904,8511862,17,2137,1535,1274,9821629,1767438
350534,1330255,82,8366,7,20,0,11,189,46
1680340,1048609,453230,12101113,19,2166,1486,2153,7643770,1870237
236818,48,312734,3897200,21,1499,1093,1112,4157722,870002
1750621,1048579,421132,8593492,15,2023,1375,2197,9207866,1870878
1746351,868629,166,5082,2,8,0,4,90,28
433386,1048580,401567,4115328,20,1841,1265,1136,3684302,851483
1625010,1048594,417945,9165807,15,2150,1379,2266,8437555,1856021
1162277,1162228,922,7918,4,45,1,9,339,116
584089,584047,333,8612,4,27,0,9,201,59
1792688,925540,843,9861,3,25,2,9,376,144
718731,1625890,97,4224,3,23,0,4,100,30
908962,1048580,1062118,8322496,23,2042,1421,1264,9720600,1800623
1625010,717633,262,9169,4,18,0,6,145,55
430478,418376,22,1852,2,7,0,2,34,5
326524,17,360413,4130069,16,1779,1253,1036,4874646,1008157
847029,1048587,454377,11867060,22,2166,1497,3394,7936223,1876629
97707,1127060,23,7916,5,14,0,5,42,9
751006,773868,120,4538,3,8,0,3,99,14
61981,34,464747,8980054,35,2134,1469,2315,9028173,1871226
202773,46,325278,5576131,19,1719,1081,1434,7509875,1516843
430478,48,406153,3760808,17,1917,1323,855,3485083,794532
1788164,1048600,139917,2956080,13,659,420,523,468004,149399
847029,1048592,464317,11796204,26,2172,1504,3397,7933785,1875502
751006,14,393093,8970304,14,1976,1323,1930,8792754,1855003
1222678,47,409367,6546270,18,2027,1382,1521,9491799,1711044
357970,48,381502,8215607,20,1906,1279,2082,9545742,1875192
1587223,1048609,393341,3517876,16,1911,1280,755,2878825,719571
1845368,1048618,453233,8688952,14,2091,1488,1251,8986180,1856019
1429120,473758,16,2592,4,10,0,4,57,9
433386,418423,156,4256,3,23,0,3,146,57
1436966,17,458812,10661417,16,2153,1536,1834,8218195,1865164
224262,1,1132348,10740915,30,2171,1520,2481,8028740,1870159
1847988,1048606,433294,7023505,20,2012,1421,1078,11707485,1791265
494052,1048612,361579,2732918,11,1611,1127,681,3103024,680809
1680340,55,457098,12528687,24,2180,1513,2838,7662396,1878291
1497541,558560,1580,5174,3,16,0,4,104,30
1310978,1048609,346070,4096056,15,1705,1168,1118,4476873,973735
1070778,21,440514,9495838,18,2169,1453,2433,8090902,1868462
751006,42,393760,8824784,15,1974,1308,1928,8768205,1846835
122512,121011,965,8507,5,35,0,7,155,53
1067462,1048613,461833,9036231,20,2058,1425,1734,8367610,1868608
1310978,326698,40,8504,3,8,0,6,131,39
1746351,868741,280,7348,3,20,0,5,162,57
494052,1048621,389723,2644113,12,1601,1138,474,3074293,672784
1788164,14,140348,3085326,12,673,411,516,565737,171908
1608303,1048617,448379,8761676,17,2054,1402,2347,8726617,1870963
1717090,832300,549,7693,6,28,0,8,98,31
1429120,1048612,609572,10109410,22,2097,1453,2630,9257346,1871536
1847988,1048594,428842,7013841,19,2006,1415,1070,11697127,1788614
718731,1625893,190,5706,4,23,0,6,133,44
1745633,37,429181,6396250,25,2127,1431,1555,9050586,1703175
1222063,5,413380,6522702,20,2036,1373,1523,9024048,1713105
1167493,1048578,460241,12617936,24,2136,1486,3011,8375669,1872155
202773,26,322602,5623546,19,1724,1087,1418,7540654,1524540
1127459,1048578,507630,10000557,24,2117,1494,2612,9375613,1873353
1608303,696801,239,8989,6,30,0,7,296,121
61981,43,461202,8967731,36,2136,1469,2302,9027184,1870817
1680340,1048610,455861,12109026,20,2166,1495,2156,7644849,1870642
621728,630475,109,3954,2,12,0,3,61,14
477283,12,451456,10444477,33,2115,1463,2698,8671420,1877519
1070778,10,1123219,9559267,32,2177,1448,2487,8098988,1871443
1067462,24,433528,9000219,19,2063,1440,1725,8362336,1866772
1063066,26,27459,1776489,12,283,99,226,85124,33604
1640668,1048595,350213,5532198,24,1744,1132,2037,6237837,1291923
782680,1048602,446583,12356288,22,2172,1480,2797,7686709,1877388
1127459,34,487384,9956367,20,2151,1483,2575,9372099,1871996
1162277,1162319,255,5199,3,25,0,6,201,63
1746351,25,418174,6233911,16,2101,1428,1492,9090870,1691425
1063066,1048617,27572,1787003,10,285,99,239,86486,34141
1116335,1116330,140,4120,4,14,0,8,351,34
461414,457427,550,8324,5,24,1,8,341,86
1772876,1048620,467230,10518706,21,2145,1517,2976,8610490,1872145
1037595,1048593,503421,6659291,18,2199,1561,1045,1217680,358674
272955,44,316156,4171580,29,1599,1037,1346,3769200,885499
1640668,737130,157,4336,2,10,0,3,107,20
1222063,32,408769,6751087,22,2031,1385,1621,9127417,1738790
1788164,931253,677,8668,4,22,2,12,279,96
847029,44,455985,11724018,24,2165,1485,3394,7928420,1873269
1864928,1048587,426262,7510601,15,2024,1416,1132,10549449,1789899
950338,15,502407,9030265,20,2178,1512,1403,7266141,1327889
990542,30,484793,8756895,18,2123,1505,1432,9164758,1851038
1607781,1048601,461540,8962413,18,2153,1503,2417,9155892,1871291
1587223,1048608,397010,3520570,19,1911,1286,761,2879583,719786
1239740,1239734,83,1921,3,15,0,4,56,10
1745633,1048617,427560,6388749,22,2119,1430,1555,9048112,1702492
37011,42196,58,7311,7,22,0,12,289,85
236818,1238825,740,6368,1,14,0,5,141,43
1019281,16,453874,8815682,15,2132,1539,1302,8889390,1780513
361765,1339152,5,8660,1,5,0,1,175,3
236818,33,312434,4033113,21,1499,1067,1353,4241110,890551
350534,1048620,395862,9888591,22,2033,1298,2686,8192098,1870103
1608303,696898,194,6681,7,26,0,7,188,72
326524,326515,443,9337,2,19,0,8,169,54
908962,1048589,431479,8238787,21,2026,1421,1212,9701507,1793471
413171,40,448410,10182435,17,2099,1458,1703,8755274,1867950
1017424,1048578,650030,9224744,12,2073,1480,1476,8841535,1798948
1628684,1628676,1536,5724,4,24,4,8,186,65
781315,1048619,462150,11953737,25,2163,1493,2156,7788787,1870611
461414,48,376759,3581390,19,1793,1262,870,3588788,793875
1181351,1181277,14,6793,4,11,0,4,46,8
402518,7,408509,8656824,23,1975,1323,1938,8597133,1838066
584657,37,388995,3438677,15,1779,1285,906,3877667,796549
718731,1625896,444,9474,5,33,0,7,231,88
1529280,1048599,375154,3843882,26,1577,1089,884,3924761,870894
1788164,1048618,140753,2955267,12,659,424,525,467593,149288
751006,1048595,393283,8835680,14,1978,1317,1924,8770444,1847513
810474,810520,114,3830,3,15,0,3,82,16
1162277,1162208,631,8758,4,51,0,11,369,127
1037595,1048587,508334,6760399,15,2194,1548,1044,1305078,377849
810474,1699510,201,8041,4,32,0,7,229,73
990542,48,485333,9272775,20,2129,1521,1538,9206651,1867903
1845368,21,452989,8698801,14,2097,1486,1238,8986704,1856242
781315,31,462534,11949518,24,2163,1492,2157,7788326,1870425
1614175,48,310296,6998623,27,1647,1054,1519,8517295,1695177
751006,1048584,405847,8916153,29,1986,1312,1981,8783362,1851854
153758,1048610,78523,1910731,22,397,207,309,696938,167119
739844,1048597,360175,6364867,31,1740,1145,2130,6997834,1506854
1497541,31,386721,8141837,16,1942,1298,1759,8810446,1827165
191416,24,388301,5204427,16,1937,1301,1231,7208944,1462077
1067462,1048596,435010,9020346,21,2066,1440,1727,8365521,1867845
1777428,1048616,601026,9043198,21,2145,1558,1399,10013787,1831016
461414,1048622,381604,3723661,19,1793,1256,1113,3704988,821555
1019281,29,462053,9105271,23,2153,1535,1379,8966122,1808501
956538,1048595,498223,7771524,14,2209,1535,1171,2126444,518796
1062382,1048594,10550,1175265,9,136,31,146,55972,19547
1788164,920974,1923,617,1,4,7,1,47,3
1845368,37,456885,8697712,18,2101,1488,1253,8986666,1856224
956538,46,478818,7784376,17,2206,1535,1192,2150669,522678
1181351,1048589,445020,5796741,19,2019,1489,654,10505918,1617286
60050,1096842,1475,2951,1,5,4,1,44,5
1772876,35,467949,10493266,19,2144,1508,2961,8608564,1871368
1529280,598485,44,6463,4,20,0,4,57,14
1792688,1792692,261,7790,3,21,0,8,243,84
1338321,7,466513,12246143,30,2151,1481,2913,8373684,1877775
494052,4,349816,2739992,12,1611,1127,712,3108162,682053
1259084,1048609,307979,4135779,19,1527,972,1372,3987633,915547
1127459,3,503249,9934891,20,2158,1480,2590,9369754,1871132
1169990,47,74560,1984845,13,415,191,336,628043,162214
191416,1048592,388864,5307944,20,1941,1314,1242,7314229,1486424
1259084,43,289157,4128816,20,1530,982,1370,3980324,913877
1750621,8,447001,8637406,18,2027,1370,2188,9211883,1872418
1497541,1048602,386124,8253507,19,1948,1304,1695,8839495,1836144
1436966,28,472050,10567468,15,2153,1522,1840,8212432,1862790
1640668,30,354852,5538216,26,1742,1132,2051,6248981,1294048
1745633,1747813,27,5047,3,14,0,3,51,8
1070778,27698,311,2055,3,11,1,3,39,6
433386,1048597,389723,3894333,17,1839,1281,903,3573590,821481
908962,20,431381,8142062,21,2027,1421,1208,9680274,1785482
1116335,1116352,324,9956,4,26,0,12,723,105
1788164,53,140342,2958895,14,659,422,527,469227,149712
1062382,1048614,14231,1162547,8,142,43,152,54816,19142
1847988,18,430844,7158734,19,2012,1425,1078,11824720,1823322
957068,1048609,469738,8457675,22,2158,1521,1295,6167840,1165594
769788,2,414717,8797245,29,1986,1356,1969,8533800,1842976
1614175,1048616,311511,7017731,27,1648,1054,1525,8526856,1697515
37011,1077860,35,2646,3,15,0,6,126,24
782680,45,451201,12189179,18,2166,1484,3525,7680887,1874763
1100952,22,427864,9009522,25,1993,1375,2345,8925670,1874724
810474,810424,178,7339,4,26,0,8,197,61
680704,680705,80,8397,4,17,0,4,81,23
1640668,1640674,415,7681,3,36,0,7,214,65
1792688,943210,354,8660,4,23,0,5,291,105
1222063,1,413560,6512960,18,2032,1372,1537,9019712,1712015
461414,1419203,709,431,1,4,2,1,46,2
621728,1048603,362573,3043192,10,1749,1206,777,3680500,781516
1717090,832399,783,9528,7,40,0,10,186,65
629068,5,366390,3415559,18,1819,1249,963,4407423,869075
1222063,215630,629,7500,4,23,0,7,209,75
1746351,13,419786,6439943,20,2096,1446,1568,9165052,1709192
782680,3,443151,12128796,17,2175,1473,3545,7675585,1872636
1777428,46,462112,8529417,19,2137,1542,1291,9827446,1769422
1847922,1048592,509252,8073468,20,2014,1431,1215,10713866,1853817
1037595,1048605,470050,6592423,18,2196,1534,1042,1188706,351220
236818,1048597,317302,4041096,21,1499,1092,1165,4246556,891835
236818,1048617,311686,4038704,21,1499,1069,1356,4244936,891457
97707,9,466904,9771747,41,2163,1468,2651,8385176,1875333
1497541,1048598,387494,8135507,16,1944,1299,1755,8808923,1826702
1172982,1172926,114,6238,2,16,0,6,95,28
1777428,41,455773,8496612,15,2132,1535,1272,9816607,1765717
1239740,238018,990,7074,5,35,3,10,264,76
1497541,1048601,387742,8138338,17,1945,1298,1759,8809627,1826909
1017424,1048609,442954,9206514,12,2106,1459,1357,8834275,1796557
1625010,717602,292,7783,4,16,0,6,110,38
990542,990543,16,3470,3,10,0,3,220,7
1750621,35,418308,8620246,17,2018,1367,2177,9210527,1871894
1746351,1048579,413621,6179310,14,2102,1428,1518,9064018,1685401
1222678,1048601,411360,6531616,17,2029,1380,1518,9485788,1709476
1063066,1048584,28127,1839382,22,287,100,245,94414,37069
1792688,1048588,142768,2957117,12,647,391,439,596991,177083
1788164,1788308,584,9348,3,21,1,10,311,109
1237749,1237831,1070,8997,4,33,2,9,229,79
782680,48,447674,12374599,24,2176,1490,2756,7687151,1877609
1608303,4,444679,8728096,16,2064,1407,2358,8722521,1869457
1746351,1746353,845,535,1,6,3,1,22,2
1607781,1048590,464108,9013798,18,2155,1523,2407,9160386,1873137
153758,11,119604,2141865,33,515,291,359,1064190,240439
1746351,1048619,419248,6227653,16,2094,1429,1507,9088191,1690814
122512,1048578,421660,7027357,22,2110,1395,1819,9132211,1802564
433386,433370,223,9431,10,31,0,11,283,112
1429120,473761,1060,914,1,5,2,1,39,3
494052,6,346097,2771188,15,1613,1117,701,3127822,687052
1169990,1048617,73967,1991643,14,417,194,339,637514,164367
430478,1048593,412029,3902095,17,1917,1331,907,3584388,819046
1497541,559035,2012,8973,8,38,0,11,175,62
1127459,1048579,482417,9935249,20,2157,1481,2591,9369817,1871154
1116335,10,521083,9366275,31,2147,1457,1880,8413272,1873304
61981,49,465285,9244048,42,2144,1483,2383,9041191,1876933
1864928,1048586,434168,7953568,20,2027,1423,1219,10757949,1854760
1310978,1315970,65,9536,4,18,0,8,138,43
1717090,832290,2579,7317,4,22,7,6,91,28
37011,19,439427,9286046,17,2153,1448,2218,8478200,1867973
153758,1048587,65262,1766729,19,375,176,286,486400,122723
1750621,873914,98,8294,4,14,0,4,41,8
621728,1048584,370679,3129699,26,1749,1195,822,3945982,809760
99519,103737,46,7736,8,18,0,9,87,27
769788,38,459054,8781377,28,2021,1344,1936,8530402,1841913
402518,1371884,334,9394,7,29,0,8,148,51
1070778,1070854,792,6321,5,41,0,7,210,67
1222063,1048583,422230,6619700,33,2038,1374,1564,9072046,1724860
1338321,28,457220,12009970,26,2135,1475,2867,8357489,1870985
1614175,47,314349,6879797,24,1638,1040,1627,8454744,1680632
1067462,37,437055,9023614,24,2068,1441,1743,8365940,1867999
1200653,12,390584,5463523,19,1918,1340,1325,7731302,1515642
1089366,31,484364,11076585,22,2128,1466,3128,8192124,1872775
1788164,48,158844,3472600,16,753,477,630,888199,241113
1239740,53,315664,4000925,24,1501,1045,1347,4320858,883128
350534,26,393308,9939321,22,2037,1303,2669,8197701,1872262
1137464,129800,26,7748,4,17,0,10,216,38
1429120,1048579,518260,10101583,22,2103,1451,2660,9256306,1871154
956538,47,479366,7784146,16,2204,1537,1191,2150039,522586
584089,1048602,411982,3337886,18,1949,1370,876,3513197,784538
1436966,1048583,469648,10654272,28,2161,1517,1883,8217521,1864908
37011,1048595,438694,9209867,15,2152,1441,2214,8468418,1864455
956538,1048606,479194,7748754,14,2206,1537,1176,2072001,510362
1497541,15,389234,8317401,21,1950,1304,1697,8853465,1840537
1847988,28,430283,7041776,21,2015,1419,1087,11728721,1796624
1070778,27299,1795,8935,5,51,6,10,354,128
1608303,1048583,456844,8838157,31,2067,1396,2387,8733063,1873551
1063066,31,27274,1800105,11,285,98,245,88486,34917
1222063,49,416837,6779850,24,2036,1395,1586,9140807,1742138
1378915,1048599,453215,10464406,25,2126,1470,1744,8229513,1874201
847029,1048613,452976,11728699,23,2163,1476,3395,7928951,1873484
1788164,913980,366,8092,4,24,0,7,253,87
1587223,11,408202,3741097,27,1921,1281,802,2957936,742297
236818,20,311286,4037348,20,1499,1086,1164,4244160,891269
413171,25,446276,10220649,18,2102,1456,1703,8758900,1869369
37011,1078262,61,4249,6,22,0,7,203,49
1746351,1048587,415799,6386270,14,2096,1435,1498,9147987,1704997
37011,1048588,438456,9371772,19,2153,1447,2168,8487619,1871536
202773,42,317525,5552383,17,1718,1072,1417,7494721,1513106
1378915,53,447463,10106652,19,2105,1462,1678,8200453,1862477
326524,1048598,357850,4035756,14,1775,1232,1041,4805073,991317
1845368,44,455412,8705648,15,2093,1481,1243,8986955,1856353
810474,1699568,166,7672,4,21,0,8,212,67
365792,1048594,528091,11292123,15,2145,1529,2620,8357158,1869829
1680340,786550,103,5689,2,15,0,2,93,14
1172982,1048579,177351,2467588,8,803,520,448,1944964,449428
1259084,262068,780,8916,5,17,3,9,214,50
946745,21,470075,8617996,13,2080,1455,1343,9502203,1863439
584657,1048620,388984,3434889,14,1779,1284,911,3875200,795890
191416,12,1021534,5428963,23,1938,1318,1306,7396413,1507337
990542,1048589,482529,8896379,17,2124,1511,1425,9178463,1856467
1625010,1048605,414306,9194568,18,2157,1371,2274,8442869,1857712
1587223,12,393482,3326777,17,1909,1299,688,2780866,692298
810474,1699625,666,8290,3,21,1,6,242,78
584657,601958,83,2119,1,6,0,1,31,4
1429120,1429121,15,1929,4,10,0,4,51,7
739844,43,361427,6286157,30,1737,1135,2324,6925551,1490448
950338,950337,11,1522,1,4,0,1,23,2
1847922,27,518691,8040638,21,2015,1429,1211,10705841,1851248
326524,326514,586,9811,3,30,0,9,196,66
60050,22,446012,9476091,18,2102,1469,2540,8706087,1876209
88755,25,441481,9092608,17,2142,1463,1736,8652361,1870963
1169249,48,53411,1949397,16,363,148,300,668277,170549
1608303,1608283,160,9852,4,19,0,9,343,143
272955,30,317012,4177926,31,1599,1040,1525,3773757,886681
1587223,51,391899,3496968,15,1911,1288,754,2873148,717938
1378915,1048586,446481,10668821,22,2108,1479,2168,8238325,1878112
1717090,47,431391,8450369,21,2085,1427,2231,9128426,1868167
1845368,52,452223,8688395,13,2090,1486,1250,8986154,1856008
1314331,328286,127,7014,5,16,0,8,124,41
236818,236797,1286,5132,3,22,1,9,109,31
433386,12,397385,3742850,18,1839,1283,852,3465989,795030
1847988,1048604,428320,7027284,20,2011,1411,1079,11711189,1792214
718731,1048618,411557,9137714,16,2163,1379,2217,8244387,1858225
1100952,1048586,424449,9130165,28,1989,1379,2412,8929762,1876570
908962,13,459887,8708291,23,2023,1433,1300,9901265,1857673
1788164,932872,462,8953,3,21,0,11,299,103
1063066,18385,64,8929,2,11,0,7,165,53
37011,42,436527,9198971,16,2148,1432,2218,8466668,1863893
1378915,55,448474,10606488,21,2118,1479,1774,8236334,1877153
1314331,1048619,363010,3987612,16,1815,1237,1025,4826716,989788
584089,1048601,413883,3444823,15,1946,1364,944,3698710,802269
365792,35,459801,11308654,17,2151,1520,2630,8359011,1870534
1499307,26,396902,8371707,19,1959,1328,1794,8698756,1837030
1169249,1048604,83944,2142316,17,439,219,370,827866,201545
1172982,1048599,198368,2556774,19,883,569,498,2081476,481474
950338,1811898,2168,6231,3,17,7,4,68,17
782680,1048620,450543,12181348,21,2170,1475,3541,7680470,1874579
433386,3,999240,3843102,15,1839,1261,1103,3532636,811682
494052,47,367860,2780370,14,1613,1130,704,3132075,688199
461414,1048618,385280,3721635,18,1793,1258,1112,3703309,821150
1628684,1048594,421583,9447004,14,2101,1348,2470,8236030,1857098
1608303,1048588,444312,8921295,16,2060,1407,2338,8736407,1875046
1063066,1048619,27991,1790497,11,285,100,244,86949,34318
1162277,141468,400,6065,4,34,0,7,237,77
