from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
715363,1251093,95948,3135512,20,1477,0,1596,2702539,489189
1311143,332927,1379,161573,16,74,0,62,7262,1657
1575743,1141012,144871,5541085,44,1967,0,2213,4651308,979368
721396,1473275,167777,7155211,27,2110,0,2730,7550878,1519425
1575727,1688332,152677,12370868,37,2252,0,4500,8985123,1878848
332927,326884,1390,187959,16,75,0,45,4306,2055
1311143,332918,1451,147470,17,72,0,66,5001,1126
1688332,1304496,134680,10377614,24,2006,0,3532,5936584,1202718
715367,721396,80320,3742641,24,1293,0,1905,5220326,831306
1688332,1688332,31,0,0,2,0,0,0,1
1473275,332922,120402,1622629,18,1819,0,635,3033015,520950
715237,1575743,115073,4389846,31,1762,0,2363,5854645,1040999
326876,528747,131754,2023083,27,1866,0,1138,3064720,566576
332902,721396,119372,5826331,26,1737,0,2005,6503206,1331925
721395,318620,123287,5802871,26,1888,0,2028,7006728,1081779
1575747,1688332,195762,12279004,41,2277,0,4463,9905945,1878710
1575729,721396,239733,7696121,39,2136,0,3452,6151693,1345990
715363,715361,3869,531702,15,162,0,240,39943,16998
326884,1141012,126931,3764533,34,1621,0,795,4655836,881356
721396,721396,21,0,0,2,0,0,0,1
1311142,332918,578,129727,15,69,0,36,2999,1342
318620,332905,52591,540189,17,941,0,277,510744,129114
796516,1575727,157167,12196549,34,2246,0,4781,8758871,1758991
715367,318636,79147,2567896,16,1348,0,1104,1579147,267217
332923,332927,364,76508,11,44,0,12,513,233
332907,715373,97669,2880364,24,1489,0,684,4813389,753961
656308,1311142,138568,2443182,36,1876,0,1371,3001189,569039
721395,1304519,123041,5797186,25,1861,0,2041,6997136,1080045
1311143,688396,114331,5904551,25,1741,0,1616,6989282,1361224
1311127,1623099,102134,2964786,29,1469,0,844,3961136,766998
1473275,721395,147724,7211258,22,2109,0,2759,6601700,1361613
656306,326876,126870,2299189,29,1844,0,1622,3166318,553981
656288,332909,126504,2516231,30,1863,0,1415,2809477,585103
721396,1315989,130948,5748818,32,1772,0,1963,5188832,1060346
1304496,715367,82822,2543779,17,1345,0,1068,3270056,711489
656306,714514,121104,5205863,37,1683,0,2375,4795888,935969
332903,1575743,132739,2266775,31,1841,0,1476,3651853,620245
656288,715361,110791,4744226,32,1660,0,2267,3773006,822902
1575727,715237,115230,4562740,34,1738,0,2545,3776841,791309
1688332,715367,130358,9068997,26,1989,0,3210,5017765,1028233
332918,1315989,42,3279,3,10,0,3,35,5
721396,1473275,146967,7155211,27,2110,0,2730,7550878,1519425
332905,1141012,119505,3730728,35,1621,0,786,4489858,878117
115048,1575727,162160,5609859,39,1943,0,2275,8217649,1490113
721395,656306,165795,7507899,36,2132,0,3234,9930547,1589917
1315989,721395,122774,5867289,28,1765,0,2006,8754229,1333834
332907,715373,101972,2880364,24,1489,0,684,4813389,753961
715363,715373,959,16744,11,62,0,20,606,249
1251093,715341,99438,3054719,25,1551,0,1605,3633020,746634
1311143,1473275,136736,1840281,26,1838,0,937,2648052,537031
1623099,715361,1710,144406,13,74,0,101,7438,3155
715367,1311127,100845,2889887,28,1489,0,739,2121018,374363
1688332,715341,133547,9180243,21,2060,0,3285,5049961,1036133
332922,1688332,148437,10294433,31,2264,0,3265,9614653,1877644
1575747,715373,113254,4515267,33,1696,0,2590,3512115,791921
715341,1575727,108517,4566700,22,1739,0,2389,6716005,1099525
715361,715373,3948,502120,18,159,0,259,45843,18338
332906,656306,133861,2235637,32,1841,0,1465,3841451,618397
721396,1473275,146494,7155211,27,2110,0,2730,7550878,1519425
715373,715367,279,8477,10,27,0,12,250,95
715361,715341,5825,609768,16,185,0,332,55736,22427
1311143,332905,384,81391,18,44,0,30,886,161
1792575,1141012,145170,6516626,34,1987,0,1592,7341249,1110848
721396,721396,21,0,0,2,0,0,0,1
1688332,1623099,175414,8468123,24,1962,0,2718,4683348,956146
867647,714514,80689,2250788,23,1169,0,662,1087103,262619
715341,715361,5975,611395,13,186,0,292,51516,20123
1311143,715363,96421,2902602,21,1481,0,688,3542269,754675
715367,1473275,114069,4261262,30,1673,0,2283,6034091,1005264
721395,318636,137153,5796564,24,1860,0,2040,6996012,1079833
1251093,715341,102417,3054719,25,1551,0,1605,3633020,746634
1473275,115048,140248,5133793,31,1945,0,1554,5144090,995922
115048,332906,118482,3705522,37,1608,0,973,3956075,795216
721396,1850565,75608,5457702,20,1137,0,1359,4758783,978070
1473275,1304496,109992,1747642,18,1649,0,1325,3143319,548598
721396,688396,11993,118824,13,398,0,74,21361,7976
715341,115049,43449,2255309,12,738,0,776,827627,165441
715361,332923,107928,3214388,23,1494,0,874,2972702,516354
715373,1850565,114566,6512813,23,1747,0,1508,9626403,1554795
332907,656288,134812,2370265,31,1839,0,1509,3830216,645733
721396,1575743,154181,7514238,39,2133,0,3243,8031899,1591104
656306,656306,21,0,0,2,0,0,0,1
1575744,715361,118771,4639220,34,1679,0,2223,3647424,810063
715341,1850565,114513,6604122,18,1813,0,1552,9309487,1561327
715341,714514,7117,1008321,15,198,0,469,94342,35591
1623099,1251093,96779,3601111,21,1458,0,1314,4101620,730040
688396,318620,122922,5886991,21,1906,0,2106,5513329,1091024
656306,715341,116146,4460953,37,1761,0,2462,4036066,784511
721396,332905,117585,5732873,31,1746,0,1973,5149124,1053948
715341,1688332,127187,9226482,23,2060,0,3076,10828875,1819941
332905,715237,99620,2861162,22,1554,0,636,3526992,751092
1491170,715373,104405,4323646,21,1378,0,1467,4978185,896707
656306,326876,127757,2299189,29,1844,0,1622,3166318,553981
715341,1304496,75349,2511946,15,1338,0,1004,1242753,236456
332903,1315989,599,87543,16,58,0,51,1654,576
1688332,1251093,143550,10743888,29,2071,0,3929,7975301,1358414
1575729,318636,111573,2089104,30,1652,0,1538,2406135,512903
332927,715367,111665,2945610,21,1495,25,685,4427586,757432
721396,715361,70513,3194351,24,1110,0,1509,2744213,615824
332923,332903,466,118145,15,53,0,41,2048,901
115048,332923,152042,3733824,35,1624,0,956,4029301,807891
721396,1575743,148885,7514238,39,2133,0,3243,8031899,1591104
1688332,1575743,159411,12119648,38,2277,0,4761,10249912,1739657
1688332,1623099,135273,8468123,24,1962,0,2718,4683348,956146
721395,1304496,198669,5771743,24,1861,0,2013,6935138,1069826
715367,115049,48892,2160797,16,726,0,730,895369,155692
688396,1792574,251134,8659629,24,2314,0,2549,8825501,1748064
656307,332907,132065,2288045,38,1843,0,1618,2902788,551879
1251093,721395,127189,6212270,22,1926,0,2502,6342611,1328931
332902,332903,31,4074,1,4,0,1,22,3
721396,326876,199125,5743140,25,1756,0,1981,5173985,1057969
715367,656288,138782,4642114,27,1673,0,2474,6708164,1145049
867647,715361,59572,1781403,19,991,0,498,705043,183056
1850565,1575747,143641,7314561,23,2030,0,2082,15216225,1760769
1575744,1688332,161381,12273523,40,2278,0,4458,8556118,1878710
1623099,332923,98124,3261424,23,1480,0,904,2918586,562396
332918,326876,313,68669,11,39,0,36,955,448
656288,332903,161588,2409772,29,1838,0,1669,2746220,569569
715361,721395,50814,3234628,20,900,0,1670,3020327,524344
715361,688396,52153,3323360,16,942,0,1734,3327657,572074
656288,1141012,143766,5640299,40,1947,0,2248,4430400,984599
332927,721396,123078,5873587,30,1761,0,2279,7237941,1334900
715367,1688332,126354,9131970,27,1989,0,3030,10253503,1819225
721395,715367,91592,3685351,26,1280,0,1743,4974156,696479
332905,721396,116227,5810677,30,1737,0,1993,6452201,1331875
688396,1141012,47429,2368925,33,803,0,1204,1820114,462025
1473275,1575727,42018,1073059,16,695,0,472,948718,223701
715361,721396,51311,3236472,21,902,0,1671,3024423,525084
332922,1304519,73860,838548,17,1237,0,449,976899,185458
332906,1311143,423,114232,19,47,0,36,8009,1301
1304496,1575729,123377,2091374,28,1654,0,1403,2777999,598114
1575743,1141012,182703,5541085,44,1967,0,2213,4651308,979368
1311143,1315989,1430,142797,18,74,0,67,4337,975
1473275,1311127,131028,1870852,22,1846,0,669,3227900,569599
715341,721396,81370,3837153,20,1435,0,1951,5411151,856614
1473275,721396,141717,7213102,23,2110,0,2760,6604985,1362289
1575729,1792575,140023,4909479,22,1983,0,1719,4214401,859404
332905,528747,133005,2030913,27,1862,0,1144,2763372,567780
715363,721396,75649,3757460,24,1289,0,1899,4846087,836166
332918,688396,118370,5930980,25,1769,0,1621,6797498,1362860
332905,1311127,114,4671,7,21,0,7,92,28
332922,1141012,120578,3556203,34,1767,0,1011,5165954,890135
332909,721396,119740,5474131,27,1891,0,2118,7018624,1331144
115049,1473275,145376,4942402,23,1990,0,1603,8056357,1357224
1473275,115049,135507,5001734,20,1990,0,1530,5107170,984979
1792574,332909,121456,3566782,26,1798,0,892,1203543,292702
715363,721395,78273,3755616,23,1289,0,1898,4841127,835219
1575747,1575744,152,9942,8,25,0,11,173,65
1688332,1311143,147854,10349613,28,2188,0,3488,5868753,1192783
1850565,1141012,133862,4503670,29,1850,0,895,3804389,511055
715373,1311143,121425,2903912,20,1488,0,736,1634267,379979
332906,1575743,150589,2241515,34,1841,0,1473,3846802,619728
1141012,332909,149713,3364346,31,1766,0,998,3425384,694419
1491170,656306,151453,7364821,31,2197,0,3008,8940984,1633677
715373,1251093,99765,3135424,20,1484,0,1598,2323721,491689
1304496,332923,60935,585315,16,1025,0,290,580036,144720
721395,656306,203157,7507899,36,2132,0,3234,9930547,1589917
332905,326876,229,12759,8,29,0,12,203,82
721395,715373,80828,3688949,26,1290,0,1745,4976959,697045
715373,528747,116675,4402963,30,1702,0,2438,6558816,1047003
721396,1850565,78905,5457702,20,1137,0,1359,4758783,978070
115049,1141012,3264,172928,23,75,0,39,2223,978
1311143,332902,325,101132,14,46,0,44,1546,338
715367,656306,110615,4508639,29,1692,0,2431,6394432,1085493
332908,721396,115839,5479322,24,1887,0,2116,7284252,1330985
721395,326876,113140,5742679,24,1756,0,1980,6861504,1057969
326876,715361,97402,2845714,20,1473,0,813,3966073,748906
1792575,715237,113765,6022432,22,1735,0,1550,6911874,1035868
715361,1311143,97724,3159800,22,1482,0,843,2852255,496335
688396,721396,11929,117075,13,397,0,87,36426,12817
318620,715373,89652,2530459,14,1399,0,1058,3272294,709073
715367,656308,116391,4625793,33,1700,0,2498,6662423,1136762
1141012,332902,120990,3721993,31,1608,0,985,4410882,802983
1311143,1688332,150431,10497743,31,2188,0,3048,9300851,1877380
332927,721395,120414,5871743,29,1761,0,2278,7234764,1334228
1688332,1792575,169006,11401661,31,2484,0,2635,9726096,1618495
1251093,715373,114718,3111523,21,1485,0,1732,3661346,753716
115048,715361,36202,1681622,27,559,0,473,994623,217571
715373,1141012,37535,2166062,29,622,0,729,540900,156274
721395,1315989,118349,5748357,31,1772,0,1962,6876475,1060346
1251093,1251093,25,0,0,2,0,0,0,1
1251093,318636,90186,609962,17,1427,0,644,1572160,259406
1688332,715367,130578,9068997,26,1989,0,3210,5017765,1028233
1623099,332909,120792,2939484,18,1551,0,797,2078583,411614
115048,332907,119511,3704127,38,1610,0,974,3953166,794702
332923,332906,350,100487,14,47,0,33,1260,598
1491170,332909,124364,5251428,20,1882,0,1773,5534753,1025381
332903,1311143,513,148376,15,47,0,49,4194,1539
1141012,796516,165426,7122005,34,2254,0,2331,9984536,1762246
332923,1304496,51722,578155,18,854,0,330,177371,52108
867647,1623099,64275,1818658,19,1003,0,548,725486,187995
715237,332902,97810,2872588,20,1556,0,1211,1956406,392753
1850565,332902,119829,5648977,22,1738,0,1246,9779075,1083029
715367,332927,99637,2966570,21,1500,0,766,2360398,407911
1304519,326876,60583,542421,12,879,0,294,564386,129567
332908,715341,100649,2630664,17,1635,0,630,4033560,731206
1575743,721396,146446,7621034,39,2133,0,3420,6060028,1339634
656308,1473275,50563,1213958,21,770,0,587,494523,157392
656306,1141012,144829,5543264,43,1967,0,2208,4957289,979368
332927,715367,98577,2945610,21,1495,0,685,4427586,757432
1575729,332903,129211,2385645,33,1861,0,1666,2619726,568022
1311127,715367,101535,2876510,29,1487,0,681,3907690,752790
1688332,1575747,158470,12116151,37,2277,0,4761,10246982,1738973
715361,1792575,108724,6268043,19,1674,0,1633,8900086,1525665
332903,656307,148394,2261622,30,1842,0,1470,3646919,619138
1850565,1623099,116620,5742025,20,1348,0,1194,9976569,1113131
1575744,332902,127249,2300692,30,1841,0,1624,2288658,556315
714514,721395,54895,3176826,22,896,0,1502,1859668,406021
715341,715361,6029,611395,13,186,0,292,51516,20123
721396,715237,101567,3859457,26,1448,0,1732,3259236,738172
115049,332906,109660,3599957,28,1598,0,935,4789092,791714
715367,714514,6539,913809,17,193,0,423,84685,34132
332905,715363,99045,2873817,23,1480,0,680,3533875,752935
1850565,656306,173183,7313757,24,2030,0,2085,15215821,1760651
721395,1623099,50731,3076477,24,883,0,1434,3593009,598426
721396,1251093,132654,6138478,30,1927,0,2411,6147234,1227940
721396,1491170,74139,1514192,16,703,0,713,961934,265132
115048,721395,47576,2256366,35,762,0,1242,2066564,411226
1473275,332903,167679,1887641,19,1842,0,673,3241788,572806
715361,715361,25,0,0,2,0,0,0,1
1491170,1850565,69445,4177428,22,1027,0,757,4879948,876816
1623099,1623099,20,0,0,2,0,0,0,1
1251093,721396,126943,6214114,23,1927,0,2503,6345511,1329575
721395,656308,152430,7625053,40,2139,0,3301,10493206,1612467
715363,332909,181337,2642152,19,1567,0,715,1477805,286850
715361,1850565,115955,6000593,20,1668,0,1286,8556097,1471129
332906,332909,24747,405084,21,422,0,179,88662,22116
715363,721396,77064,3757460,24,1289,0,1899,4846087,836166
326876,721396,112477,5821736,24,1745,0,2001,6568313,1332507
715341,326876,94773,2914366,14,1561,0,1198,2275314,392760
1575743,715237,116406,4471187,39,1762,0,2512,3735372,785920
1251093,715361,98724,3238092,20,1471,0,1315,3743844,773464
1141012,721396,47187,2257570,35,764,0,1242,2135368,411940
1473275,1311143,127569,1820382,21,1836,0,664,3197001,562159
115049,715363,44396,2181765,17,727,0,723,2325704,406561
1575727,1311127,128077,2381795,36,1837,0,1657,2786430,565244
1575744,715341,114791,4452982,36,1762,0,2458,3466279,784499
656306,796516,186549,12293747,38,2271,0,4462,9110526,1878962
1792574,1315989,114083,3694652,25,1626,0,867,1430277,336045
1473275,115049,153583,5001734,20,1990,0,1530,5107170,984979
656306,1688332,157304,12281494,41,2277,0,4462,9109984,1878710
528747,715341,127830,4386346,38,1768,0,2331,4280596,870383
715363,715341,2842,109523,13,105,0,73,6282,2849
1623099,715361,1837,144406,13,74,0,101,7438,3155
1575729,332905,130675,2361830,36,1860,0,1651,2597046,562396
715367,656306,114479,4508639,29,1692,0,2431,6394432,1085493
715341,332902,93596,2923840,16,1557,0,1204,2349100,397482
1575747,1623099,114810,4771243,33,1666,0,2262,3690013,832873
1304519,332908,68686,806207,12,1135,0,333,1011248,225917
332902,1575747,131247,2259204,29,1840,0,1475,3295060,619475
332903,1623099,99103,2980925,21,1465,0,852,4332601,767584
1473275,688396,144694,7278191,20,2127,0,2375,6743297,1390795
326884,332909,25540,414700,25,428,0,179,50862,18783
318620,115049,87222,3624335,17,1467,0,805,3911193,846290
688396,721396,12159,117075,13,397,0,87,36426,12817
715373,1623099,4766,656665,15,171,0,329,53349,22057
1623099,1311143,102400,3206836,22,1469,0,873,2761280,535289
115048,1575743,147627,5484257,44,1968,0,2242,8096300,1463402
715373,1575727,125304,4636786,24,1673,0,2463,7157877,1142161
115049,115048,3384,173568,24,75,0,40,2236,984
715361,656288,112902,5057432,26,1663,0,2151,7199958,1281013
721396,332905,117575,5732873,31,1746,0,1973,5149124,1053948
332927,1575729,132734,2354711,33,1869,0,1292,3486636,640107
1311143,1311143,20,0,0,2,0,0,0,1
721395,715367,84131,3685351,26,1280,0,1743,4974156,696479
1491170,715367,105392,4320048,21,1368,0,1465,4975266,896131
715341,332923,95455,2970017,19,1568,0,1218,2483321,419377
715373,1688332,126586,9135173,27,1994,0,3032,11446247,1819197
1688332,1311143,154613,10349613,28,2188,0,3488,5868753,1192783
715361,332927,100252,3228652,22,1494,2,878,3006369,521952
688396,715367,83314,3769471,21,1288,0,1821,3241990,728228
1311143,332906,341,84021,19,46,0,31,977,184
1792575,715361,112299,5858794,24,1641,0,1511,6387209,999121
721395,656307,254806,7508624,37,2133,0,3236,9931117,1590051
867647,715361,63111,1781403,19,991,0,498,705043,183056
721396,1311143,117296,5744203,29,1746,0,1970,5176764,1058418
115048,1575729,210102,5586614,46,1971,0,2276,8191451,1484589
1575729,867647,147661,4662251,37,2143,0,2162,4025355,812513
115048,318636,119861,3767044,30,1422,0,1040,4125771,824245
