from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
1314331,328276,128,2259,3,9,0,3,36,6
433386,1048594,132128,4227570,17,1839,0,1160,4295958,857157
810474,1048590,263263,10176405,22,2242,8,2783,10475247,1882517
1017424,1048616,154199,10438847,20,2116,0,1870,9967656,1864673
88755,1048598,151243,9236408,16,2137,0,2378,9916671,1870419
326524,46,118890,4468969,16,1781,0,1225,5764618,1072611
1063066,1048622,7078,2060374,18,295,0,507,92182,37547
1338321,42,190617,12445568,24,2131,0,3661,9632879,1880513
1200653,1048604,137907,5525449,16,1915,0,1551,8232089,1518612
1200653,189324,467,913,2,8,0,2,30,4
1137464,131733,53,525,3,8,0,3,187,8
1070778,1048600,155593,9740624,20,2167,0,2739,10790598,1869792
1864928,7,157563,7978378,22,2044,0,1509,11990970,1802259
782680,1677267,101,8874,4,14,0,5,161,53
908962,11,163627,8814045,38,2036,0,1648,11062832,1802591
1625010,34,147124,9425978,18,2155,0,2868,10232832,1854636
1628684,1631547,73,4762,3,20,0,3,211,47
1628684,727011,54,3681,4,12,0,7,178,32
1587223,47,138151,3681626,15,1922,0,752,3412990,733232
1067462,33,154410,9191281,25,2062,0,2406,10631717,1866462
950338,1048619,178773,9338501,26,2170,0,1751,12553382,1504800
99519,1131156,62,8115,7,18,0,9,85,28
1239740,1239740,4,0,0,2,0,0,0,1
37011,32,154630,9439927,20,2153,0,3015,10092136,1860451
1037595,1048599,199331,7418235,27,2215,0,1445,1928388,449808
122512,9,163228,7383757,37,2157,0,2267,10476390,1812557
950338,1811906,595,6093,5,21,0,6,83,25
751006,774031,310,6751,3,10,0,3,87,25
1063066,17,6367,1972682,17,285,0,475,85752,35005
1116335,1048601,208521,9416960,17,2137,0,2493,11702004,1871813
1116335,1104179,103,4764,3,12,0,7,857,32
718731,718834,577,9180,7,33,0,13,241,90
461414,461412,81,4036,4,14,0,4,64,17
1222063,20,180027,6845350,17,2030,0,2097,10473458,1732927
1222063,1048614,152380,6785685,16,2024,0,1946,10434874,1725621
1063066,18081,41,3416,3,9,0,4,74,12
1172982,1173014,114,9222,5,18,0,10,128,43
781315,781289,2388,2334,2,5,2,2,22,3
365792,1048620,153232,11675133,18,2152,0,3584,9628035,1878671
782680,1048609,185698,12266749,16,2167,0,3888,9700667,1878971
946745,53,163009,9351083,21,2077,0,1544,11832423,1873376
236818,236882,1279,8625,5,39,0,17,308,104
1788164,920948,2022,6861,3,20,1,5,160,55
350534,1048601,188818,10115595,26,2032,0,3548,9367386,1872545
704038,43,117811,7498282,20,1657,0,1968,9467998,1710844
88755,15,152933,9225776,19,2143,0,2538,9912081,1869092
810474,810463,182,6479,4,28,0,7,139,39
950338,1048600,193939,9338339,26,2173,0,1751,12552536,1504701
1625010,1048617,149767,9448400,20,2154,0,2881,10240909,1856831
1063066,18063,30,471,1,4,0,1,43,2
433386,18,147774,4070034,17,1839,0,1152,4213248,837231
1429120,1048618,157021,10283751,19,2094,0,3442,9949516,1878381
99519,4,211751,9830498,20,2168,0,2941,10493833,1874642
430478,1048609,144152,4254163,25,1917,0,1123,4375215,859880
1640668,737096,412,8869,4,36,0,10,308,115
433386,433443,424,9445,8,31,0,10,302,129
1169990,1048597,22198,1960272,15,385,0,351,438747,125074
1640668,51,118816,5749169,23,1738,0,2464,6603302,1306959
1162277,141435,252,4426,4,26,0,7,174,51
1788164,1805047,406,8309,6,24,0,8,230,86
704038,17,123449,7568822,23,1659,0,2163,9513825,1720792
494052,1048594,135105,3012460,12,1613,0,616,4060057,724485
1222063,18,145796,6813509,16,2027,0,2095,10450715,1728937
1239740,1048608,112441,4310637,22,1505,0,1528,5101257,964724
1845368,1048585,155916,10031325,18,2096,0,1864,10728020,1877567
326524,11,129953,4594783,31,1781,0,1303,5846591,1093328
1037595,1048613,163878,7163130,17,2191,0,1351,1653683,393713
236818,1237884,2100,8624,3,48,1,15,303,103
88755,36,157569,9253343,18,2138,0,2394,9921976,1872016
477283,1048614,157045,10454856,23,2110,0,3453,9477318,1878542
1017424,48,152718,10436456,19,2115,0,1866,9967423,1864575
122512,48,152142,7241030,22,2152,0,2345,10424704,1798809
494052,48,127012,2839457,14,1609,0,617,3951467,697457
326524,26,130884,4429787,17,1906,0,1307,5731353,1064915
1750621,19,167010,9145436,18,2022,0,2850,10853471,1880717
718731,1625893,475,6426,4,31,0,7,178,61
1864928,1048616,151894,8382040,23,2033,0,1572,12163242,1855129
1497541,1048616,143331,8432197,22,1953,0,2479,10170468,1828712
584657,1048617,126710,3732660,14,1781,0,1081,4283462,876523
