from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
236934,14,102147,2404006,11,748,415,433,320837,82529
20828,35412,195,3944,5,16,0,7,104,29
150071,78,146957,1432752,10,854,577,448,636162,170693
415923,415906,200,6486,2,14,0,5,210,15
291361,49,201401,4460207,16,1112,757,1133,1152248,313793
404692,404579,228,8615,6,40,0,11,312,117
299275,86,192130,4256799,15,1094,741,1074,1103855,303716
365444,365458,531,2705,2,19,2,2,163,15
389942,64,252999,3827106,20,1200,869,812,1911054,384317
27931,21,148241,1270909,23,851,569,321,779226,188561
198451,198525,164,7379,3,27,0,5,196,51
352857,58,227424,3594456,55,1194,829,959,1596865,358150
232543,77,158523,2685758,12,902,635,410,602980,155882
230656,230657,26,3248,4,14,0,4,105,16
211551,211381,422,7031,4,23,0,6,223,54
50059,73,183731,2627535,16,984,680,318,416259,119876
211551,44,91013,497344,12,591,344,236,346224,96167
389808,77,196456,3408510,16,994,746,951,1313320,329533
261344,40,90986,765543,8,630,353,369,162382,52285
300795,84,371103,4213960,14,1109,741,1081,1088596,298462
223051,223098,544,347,1,4,3,1,31,2
262190,2,144727,1395305,6,813,571,388,516327,152076
288374,70,141629,1310633,12,780,541,348,67596,24198
170391,60,316104,2610018,17,994,715,544,1239804,295666
415923,29,178729,1009504,12,871,663,170,615007,144772
261344,261327,421,6779,3,27,0,4,231,41
305595,31,214051,5052954,21,1160,842,1087,1338852,318659
254117,56,153362,1607117,15,886,594,327,630691,158720
421265,91,88577,553420,10,548,346,171,101139,33730
256857,27,155709,1491723,12,872,616,379,631440,164165
315195,83,198081,5794657,25,1180,778,1548,1272845,339919
21510,21586,990,9603,3,38,0,7,533,130
85582,10,160685,3677015,21,1058,654,968,1027717,248152
400789,65,205233,2281982,22,980,764,595,1178044,271379
203888,87,185004,2247147,16,898,593,606,813451,184378
84785,87,209405,3825380,17,1235,828,876,1143443,292747
56458,42,101249,434166,12,620,415,209,157255,47536
258288,38,96947,745758,18,638,381,198,247156,75717
105573,105228,869,9727,7,35,1,10,252,75
198451,16,210597,3427008,17,1114,806,578,1089538,288917
106382,54,124012,1202450,12,772,530,288,747151,184476
251813,77,192158,1582855,21,860,574,533,296573,92075
81602,86,210372,3659900,18,1195,837,829,1165941,302735
300634,23,204909,4970509,21,1151,793,1163,1465448,377083
229574,82,104044,621128,16,625,417,352,377799,103434
20828,94,136562,635153,16,656,432,279,375638,102275
371029,5,191061,2377547,13,995,755,283,921485,225550
345267,81,157442,1984386,15,897,625,559,890597,209186
21510,21574,683,8804,1,20,0,9,476,113
258288,61,123648,767075,17,776,486,235,262514,79879
300634,300632,25,4885,2,10,0,2,36,4
258288,258330,22,1171,3,7,0,3,33,5
354163,353573,55,9908,6,21,0,13,393,40
198451,41,225391,3033133,21,933,624,959,911302,237935
106382,77,113696,429047,10,729,477,192,325859,86771
85582,98,219056,4193043,18,1256,874,882,1346455,329994
105369,62,121482,600298,14,773,496,292,387637,104322
209042,230840,170,7085,5,19,0,5,222,47
27931,45,155444,630802,12,663,410,270,393047,99533
288374,31,123188,1230955,10,668,479,346,64658,23116
404411,404392,29,6025,5,16,0,5,89,10
54415,82,120409,635843,15,688,475,363,388327,84707
170966,36,301123,2458894,10,1005,691,569,1077022,262498
330597,49,166231,1022876,10,826,604,207,255384,25271
50059,69,175575,2643975,15,982,673,319,420064,120967
81602,8,169082,3370059,17,1016,681,927,967348,253187
148703,8,99790,1134500,17,644,397,501,448443,121169
21510,21508,530,2103,2,14,1,2,87,9
105573,105618,369,7217,6,26,0,6,139,37
50059,51,153407,3239732,20,980,584,588,947968,240370
368067,46,228297,2213021,11,1014,705,488,975135,237362
105369,94,119380,601864,13,776,492,281,388280,104522
119174,35700,1579,9868,6,26,5,16,258,97
116532,89,110456,583039,21,667,372,355,366227,87064
421265,86,91227,550003,14,570,353,172,100302,33441
404692,405089,156,5735,6,29,0,12,140,48
246600,76,303813,6205174,26,1207,847,1541,1360100,391622
105369,43,101432,255901,10,597,381,184,189079,49355
52775,53142,214,8043,3,18,0,8,264,58
210065,228729,9,404,2,6,0,2,796,4
300795,22,205736,4892696,21,1160,802,1165,1372907,374244
21510,31,122479,1013936,5,788,521,206,720073,150775
210949,226384,111,8760,6,19,0,6,165,58
105573,12,61597,153428,14,487,263,145,97299,25347
52775,52760,226,6535,2,22,0,6,210,43
27078,8,83388,330076,11,575,344,257,214560,56884
236934,41,136272,2537341,10,786,474,480,583959,131662
107942,64,138599,1117138,12,802,527,289,788292,174153
209042,212029,88,5205,4,14,0,6,130,23
262190,76,175552,1446217,10,842,577,392,530068,156451
424263,19,197559,1262192,14,678,485,156,102823,31993
300795,21,206200,4905873,22,1161,802,1166,1373835,374579
50059,61,159673,3035477,14,913,609,436,736986,195435
183437,24,181258,2611857,21,978,704,615,1168360,264619
234730,30,204391,1905462,15,950,658,198,113085,36269
56458,58,167282,1298558,15,919,670,330,594487,164708
21510,21509,239,1072,1,6,0,1,63,4
365444,365218,868,6326,4,41,1,5,351,67
352884,70,212083,3326898,25,1157,813,875,1596643,348067
330597,97,24722,696216,8,123,88,119,145879,12981
170966,33,173474,2447117,9,995,694,566,1073083,261416
209042,92,87676,435439,9,569,352,155,302258,82508
150071,70,157080,1733811,11,899,617,391,810251,208178
53184,26,169130,1247125,15,973,670,334,566442,158060
56458,62319,77,4125,4,17,0,4,170,30
371029,79,169325,2295204,13,944,677,672,876693,214096
315195,314904,48,6900,2,15,0,6,89,20
435452,8,125241,2996208,15,930,503,527,352591,98389
400789,77,168944,1580254,18,860,668,506,654593,162329
50059,55,180651,2716891,14,998,701,312,438679,126258
404692,404583,176,7701,5,32,0,11,237,88
210949,210934,130,8970,7,22,0,10,172,61
214020,215729,384,7863,4,31,0,9,246,58
56458,56450,72,3992,7,17,0,7,165,28
81602,11,162722,3335712,19,1035,643,858,931990,244752
389942,29,256809,3836575,20,1202,874,813,1912765,384825
20828,25178,474,7849,5,20,1,8,256,91
6366,65,125350,1018001,15,713,510,210,668127,152261
105369,105388,91,3692,1,10,0,2,45,8
344488,6,144822,1788947,17,871,585,464,669673,169578
421265,421237,28,1770,2,7,0,2,36,6
53184,39,93917,526047,13,588,365,175,241553,67224
6366,75,92461,306238,14,547,383,122,230335,55770
371029,100,176645,2157820,15,936,690,259,757421,192715
105369,17,132502,1233822,13,816,555,369,698403,189545
106382,106565,1234,8905,6,57,0,11,386,115
404411,404407,16,7252,6,12,0,6,105,17
105369,59,150261,1313106,13,805,557,379,734183,196327
416403,4,145589,958826,9,779,563,150,432573,112307
195668,21,250671,3293384,28,1157,872,901,1571328,376953
234730,97,157903,1884102,7,902,632,191,109281,35140
119174,89,94681,482669,20,645,371,328,293649,81924
27931,28882,135,7476,4,16,0,9,746,55
199729,84,190354,2899705,14,955,671,727,1322357,241184
232543,232585,225,7173,4,31,0,9,229,76
275738,53,194143,3499347,9,1095,771,389,590990,154566
44959,42,192157,3977219,16,964,642,623,745668,171161
300795,19,206948,4908151,23,1162,802,1167,1374043,374644
389808,91,188962,3429131,13,983,719,954,1322432,332081
251813,91,144206,1644609,17,846,543,550,359447,104428
66329,35,166532,1127295,6,959,659,283,606599,152225
150071,24,164915,1859364,14,942,649,403,853382,220970
232543,232566,198,7199,3,33,0,7,232,77
22578,39,198222,434751,12,647,389,232,305374,83881
300643,100,202020,4846961,16,1137,780,1145,1715417,372615
300795,301812,767,8922,1,12,3,2,40,9
195668,34,215209,3186189,21,1138,859,859,1544304,369098
291361,5,279225,5179239,18,1159,825,1221,1363985,377304
148703,61,148428,1307944,16,854,576,320,582476,156393
421265,72,160854,1079058,12,955,636,212,503511,135478
44959,91,255170,3929856,14,1072,701,582,673026,160430
210949,42,65955,217784,10,434,276,131,96768,28441
344488,88,155406,1927891,19,916,615,551,838963,201266
105369,105406,3605,7875,4,17,18,6,173,45
105573,105593,226,3078,4,13,0,4,54,9
53184,9,121049,475388,14,858,456,260,180756,51759
50059,97,173723,2592305,13,968,676,315,406157,117027
229574,34,280553,1246808,15,786,554,401,800222,189003
78162,81,181834,3914643,22,1081,711,1100,1201022,301360
435452,435452,462,0,0,2,2,0,0,1
251813,13,136964,1526678,15,784,420,547,258178,81610
203888,203889,30,9587,1,5,0,1,54,5
256857,256861,434,5549,5,12,0,6,47,11
304846,31,215478,4799793,13,1150,854,1004,1295260,311252
348557,27,191569,1737333,25,932,726,530,883955,223898
21510,89,73006,315074,9,573,290,198,255362,66306
344488,51,155134,1929248,21,922,615,551,840077,201545
305595,92,201904,4432020,21,1132,776,1011,1101300,255721
365444,64,351287,2408601,16,1013,687,343,1053467,251064
258288,17,340755,1314393,13,857,584,288,539272,156702
56458,99,165009,1316316,19,925,650,332,598081,165837
81602,60,223181,4104338,18,1234,891,839,1384585,361565
230656,29,125259,1310215,25,818,513,424,713100,193830
256857,22,153748,1505805,15,872,611,371,634613,165172
425419,97,143716,1415335,7,822,580,283,492093,133270
400789,401084,133,7917,10,28,0,11,131,42
22578,22524,256,3114,1,12,0,2,66,12
435452,75,137232,2647677,20,900,524,384,134376,46550
198451,198418,197,6174,4,26,0,5,157,37
87651,9,131817,2465717,22,928,516,715,737674,187562
21510,21540,265,1944,2,10,0,3,79,7
195668,17,216850,3232522,21,1147,869,893,1558856,373225
119174,119163,238,3714,7,24,0,7,82,25
106382,5,186899,1181687,12,775,528,286,740187,182545
344488,16,195358,2753887,17,1044,775,571,1315499,324155
84785,16,222524,4199386,18,1282,881,877,1298009,335134
119174,83,109762,608379,13,691,437,277,338699,95924
435452,19,177911,2185200,21,978,604,374,84460,29912
415923,18,215646,962315,7,869,663,162,595048,139244
85111,94,212607,3823430,21,1271,834,853,1083809,284488
113816,92,160131,1299884,15,860,629,443,907967,168473
6366,4,148369,1073063,11,715,533,217,678123,155330
315195,97,208838,6362977,23,1217,824,1592,1429250,387343
27931,27882,325,8678,6,18,0,6,842,69
195668,38,175107,2464623,23,978,713,796,1137754,265436
46170,51,155246,4430081,27,971,585,745,908049,229294
258288,41,85856,551455,11,588,328,223,144995,47341
288374,3,208660,1138405,12,382,232,332,60516,21585
170966,34,171947,2398877,10,997,683,562,1058118,257233
130456,61,170630,2626824,18,929,654,662,1193095,254739
198451,52,313803,3424804,17,1113,809,578,1088733,288686
199729,83,183380,2887397,13,948,671,724,1317134,239634
262190,262231,343,6846,2,12,0,6,221,58
389808,7,335959,3055803,15,959,637,812,1078481,268629
256857,6,77739,787891,10,544,314,359,203888,63861
232543,81,149172,2843712,13,936,601,549,840897,201805
20828,25179,264,5216,3,14,0,5,146,47
288374,58,60019,1142322,10,374,232,331,60735,21665
404692,82,144900,1347687,19,848,556,430,747807,171345
328804,52,16458,566303,9,108,64,148,24044,8987
435452,38,156016,2753163,14,981,557,405,182117,58533
288374,91,140888,1665732,10,846,564,344,119717,40321
425419,83,137149,922693,8,804,549,258,118936,40246
254117,41,92431,922510,13,640,350,458,163865,54402
50059,12,133729,3071019,24,935,527,949,809210,204316
20828,25198,337,9902,5,22,0,12,345,128
234730,24,163780,1921700,14,944,658,200,115722,37063
66329,53454,294,8708,3,16,0,7,119,38
21510,7,57854,225209,8,487,236,223,147215,38870
116532,122123,46,8195,10,22,0,10,187,40
223051,8,98580,176068,13,576,335,145,116410,30618
164920,90,272897,1538190,15,887,602,391,716460,168031
85111,66,243151,4243991,25,1318,888,864,1258174,332390
434638,46,174157,2020797,14,996,665,233,102449,32691
247574,244935,95,5189,4,25,0,7,155,51
27931,69,153972,1151917,17,834,552,307,706280,169902
198451,73,236622,3334666,17,1104,800,568,1058944,279735
424263,71,142810,1288580,8,774,569,144,110430,34432
199729,93,167440,2858617,14,952,666,721,1303605,235788
371029,9,138655,2045185,21,915,557,643,647906,167272
344488,29,274179,2773390,20,1051,783,575,1321329,325807
404411,27,197963,2212013,27,982,695,497,1226842,265522
210949,95,20746,134488,11,137,74,92,37985,12044
50059,39,158244,3065988,12,979,614,430,804516,203169
234730,29,164098,1918416,14,946,657,198,115182,36900
164920,85,188937,1569109,16,897,607,395,726344,170826
53184,20,170177,1244593,19,973,666,335,566148,157951
195668,66,274917,3264026,27,1154,860,900,1565388,375172
258288,29,169116,1351668,18,861,581,295,546712,159168
399159,31,185563,2110120,14,926,728,565,990829,249783
288374,33,117823,1228979,9,664,477,345,64583,23085
106382,106383,145,1485,1,7,0,2,42,5
84785,73,221367,4107044,18,1272,875,867,1266891,326302
130456,24,345661,3293618,23,1156,839,745,1553990,345584
56458,36,432173,1218759,14,907,656,320,572740,158082
21510,33,122114,1015912,5,787,516,207,721661,151187
234730,56,190449,1846383,9,934,657,191,101820,32943
56458,56492,28,2933,3,15,0,3,117,14
261344,91,127525,986044,10,798,502,291,273753,84708
399159,399162,11,4645,2,7,0,3,59,9
424263,94,153785,1481397,12,868,611,229,157214,48801
435452,50,149801,2942425,18,978,523,487,270526,83345
305595,81,167369,4153968,21,994,655,998,928619,209553
229574,221778,52,7228,6,17,0,8,109,30
150071,41,108812,1310786,15,714,415,512,586744,156685
46170,36,199959,3894049,22,1141,766,483,406160,118535
399159,98,179739,2070798,19,934,696,564,975504,245639
365444,365448,196,2202,2,13,0,2,138,10
332904,72,210096,2299198,15,948,670,269,481549,123772
52775,53146,354,9284,4,32,0,9,346,82
262190,268587,491,6057,4,18,0,7,196,48
107942,78,298350,426396,9,749,479,176,337990,84488
300795,58,253992,4926405,16,1147,797,1169,1375678,375221
345267,90,169634,2225692,13,900,666,571,1039799,246553
275738,62,278177,3827639,10,1055,709,571,924368,230397
299275,93,189703,4245644,14,1094,733,1061,1092560,300905
352884,16,218245,3412733,26,1167,828,882,1615688,353823
119174,22,142796,1268107,22,866,582,331,770337,187554
352857,37,225924,3527989,55,1199,832,950,1584257,354166
113816,15,185811,1898007,15,936,723,405,1274728,237735
113816,89,121676,1077787,18,689,479,493,732138,133963
348557,55,249627,1728239,19,918,722,531,880194,222844
87651,12,132597,2457556,18,911,530,709,730926,186000
107942,107996,1475,7665,4,40,0,7,333,68
328804,22,13403,562662,11,108,50,147,23522,8815
106382,32,118992,1074215,10,764,504,243,678806,166300
107942,56,143548,1136421,9,798,531,291,800896,177289
150071,19,167298,1888513,18,950,652,407,871956,226050
368067,8,140758,1646606,13,887,574,598,595563,149169
105369,105384,259,5607,3,20,0,5,98,23
56458,55,327593,1273822,14,915,674,328,586420,162360
306700,42,237181,4038675,17,1004,719,925,856920,192785
119174,119167,27,1900,4,10,0,4,55,14
230656,65,124771,1299352,24,815,509,422,709783,192890
21510,65,123205,1052506,10,806,515,214,747126,157907
416403,20,379583,1008570,18,815,565,148,471750,123495
105573,37,137851,1209486,17,829,565,344,706145,186363
107942,51,96533,299507,13,625,345,197,288590,69556
105369,53,136582,1321876,14,813,558,380,759699,196926
50059,50049,111,5098,2,21,0,8,154,53
262190,262226,753,8368,4,18,0,7,276,82
52775,97,163351,1246475,8,981,641,347,608977,157749
106382,106585,2954,9478,4,61,6,9,435,131
416403,73,156679,964273,10,781,545,137,436122,113363
291361,17,321598,5101915,16,1158,814,1211,1356288,374666
56458,56443,66,1837,4,11,0,4,92,10
164920,62,156150,1574056,16,897,613,396,728001,171275
185200,185185,56,3835,3,14,0,4,67,17
170391,68,150637,1833425,20,911,582,671,817685,190343
56458,56802,51,3890,8,17,0,8,161,26
352884,71,217769,3312881,25,1158,815,874,1593339,347110
304846,48,325034,4162028,14,1118,790,928,1090458,250256
434638,16,168077,1987602,17,948,633,227,98797,31505
332904,53,179523,2463409,14,990,702,300,613295,156361
261344,261360,344,6652,3,27,0,4,219,38
148703,64,167530,1681829,19,922,652,313,793775,199880
209042,68,10230,65316,8,91,35,53,10102,3425
22578,22480,697,6114,2,27,0,5,163,42
324576,37,279790,5687239,20,1176,826,1470,1345415,390236
251702,46,172709,1315051,14,887,604,308,632722,156933
56458,56466,1537,7845,5,21,5,7,248,55
247574,87,205425,5515046,22,1195,812,1471,1307415,348580
304846,89,169033,3901643,14,988,665,916,844918,203160
105369,103692,332,8941,4,21,0,8,210,59
27078,41,88727,454985,15,611,355,322,293733,80861
185200,185433,60,9362,3,17,0,11,165,56
164920,164919,12,1992,1,8,0,1,21,2
203888,69,179709,2798190,12,983,665,599,1018655,232868
246600,35,224850,6234642,23,1201,847,1542,1386916,392998
352857,71,221274,3430982,55,1193,814,943,1563259,347744
393494,72,209203,5518897,24,1182,819,1396,1339888,384705
400789,400739,57,4211,7,15,0,7,48,9
87651,45,167107,2560479,12,959,642,288,859604,208677
262190,262220,518,4010,2,14,0,3,126,20
211551,211601,502,8539,4,29,0,7,273,73
400789,86,165473,1625647,18,872,651,514,701257,173592
44959,34,195664,3559954,16,1120,758,468,358454,105340
203888,78,154654,2194485,15,890,606,583,792147,178354
84785,83,210155,3812217,16,1229,827,872,1138638,291448
328804,329144,486,9134,3,24,1,8,85,15
299275,33,199691,4876540,14,1121,793,1148,1348275,372850
246600,52,228072,6280716,25,1215,856,1578,1443584,395348
21510,15,121449,1032144,7,803,511,211,733721,154356
52775,74,99761,553607,13,610,392,242,268747,73419
210065,228731,130,7506,7,20,0,10,1225,62
247574,65,219056,6052414,24,1243,866,1317,1500379,396245
304846,1,218472,4773380,17,1188,859,1002,1288505,309159
81602,32,545914,3973624,16,1226,878,822,1315354,342605
328804,51,111166,1330474,12,670,443,251,217070,60093
251702,266816,33,7622,5,16,0,5,59,9
113816,98,176715,1762681,19,888,665,381,1208634,221345
230656,75,110786,587589,23,765,454,334,377701,101799
199729,52,204600,3178379,17,1128,818,500,1448402,276681
256857,60,155003,1542239,10,870,619,385,640890,167275
306700,66,226798,5030078,25,1176,836,1084,1380804,324978
52775,52434,185,7291,4,18,0,7,240,51
53184,59,168508,1257340,10,973,673,335,567357,158407
116532,116536,34,4472,4,17,0,5,101,17
211551,8,20743,86157,9,191,76,71,19867,6919
185200,185207,49,7485,3,17,0,3,112,34
304846,40,167085,3898516,12,983,665,914,839781,201989
352884,27,219683,3460713,30,1172,837,887,1624746,356665
404692,54,173104,1975072,18,941,673,404,1039482,246467
371029,371202,51,7630,4,12,0,5,92,13
210065,207256,136,9629,6,20,0,11,1470,101
299275,59,218811,4966006,15,1124,797,1160,1355901,375531
254117,79,132581,1047593,18,820,513,262,219303,71269
352857,44,185444,2880965,55,1005,678,871,1294491,277176
105369,82,133958,561809,14,768,492,286,375075,100247
416403,71,160866,999468,11,803,557,140,465638,121656
209042,71,183861,1056976,11,649,446,259,591325,152653
328804,64,13726,554065,9,106,51,145,22792,8563
424263,80,164376,1433688,10,842,627,210,145879,45391
183437,37,186108,2592793,18,973,703,612,1163729,263161
415923,23,165719,1012951,12,871,663,169,616091,145089
247574,96,212972,5905030,20,1228,845,1301,1421936,382589
56458,92,105320,590462,12,643,420,217,308969,85058
317304,41,193544,5479033,23,1050,650,1494,1096957,315990
261344,23,147955,1498886,15,870,579,406,546840,159381
119174,119224,226,7817,7,24,0,8,191,68
185200,45,154318,1329757,14,858,601,431,739386,131473
352857,91,183904,2858367,51,987,670,867,1276471,272868
21510,21580,1875,6038,3,26,5,4,271,58
354163,55,218732,3326321,28,1168,845,802,1530692,353214
209042,65,110226,1094943,14,653,439,239,598849,155029
53184,42,101597,504809,12,636,416,285,216692,60893
210065,70,184666,1128331,18,833,545,346,602716,158550
148703,85,177319,1304147,17,864,582,320,580362,155816
66329,16,290450,1154802,9,965,660,289,610654,153648
170966,170691,5008,9031,4,12,5,4,60,12
416403,36,148196,943628,9,767,538,139,422375,109371
116532,60,142852,1424421,21,867,573,309,940124,201074
20828,77,110757,591795,16,654,452,283,340391,96338
105573,13,71358,156763,15,497,274,146,100534,26186
56458,97,166544,1266772,13,913,661,328,584504,161771
421265,421245,131,4902,3,13,0,3,76,21
198451,62,197278,3145528,15,941,665,805,963032,252453
209042,218392,119,5117,5,20,0,6,121,21
21510,21595,819,8052,2,32,0,9,427,99
106382,88,80231,265409,10,597,331,192,264593,67004
6366,89,18554,98765,10,141,66,71,25848,8251
105573,22,194158,1242244,22,837,567,349,717780,189630
328804,29,13492,545684,9,106,51,143,22298,8390
352884,86,180353,2765038,24,971,689,803,1319813,276645
365444,22,315601,2428480,17,1017,695,344,1061486,253192
87651,87485,138,5692,6,24,0,6,117,32
78162,16,228180,4446176,19,1264,891,908,1467264,361114
344488,10,137807,1781510,21,893,556,454,660986,167572
209042,20,110264,1135068,19,653,435,244,607023,157674
234730,234730,195,0,0,2,1,0,0,1
210065,1,154185,1157823,20,864,565,345,612559,161487
232543,232604,240,8331,4,37,0,8,290,98
20828,65,167099,1271754,20,843,587,328,690334,190469
52775,53143,408,9226,4,36,0,9,338,79
211551,70,126789,1072697,10,663,425,260,554589,155498
400789,401076,173,9484,7,19,0,13,163,57
421265,67,163020,1048633,14,945,635,216,482082,129161
404692,25,207393,1902648,19,940,651,396,992423,233905
258288,252608,1440,9829,8,44,3,12,345,115
50059,50045,100,9841,7,31,0,8,275,105
