from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
399936,317528,49156,3512686,14,1103,0,790,1468849,362686
303031,290796,38002,4010145,25,862,0,805,589443,184575
428917,303031,42600,5347643,31,1154,0,1344,1361058,393971
380608,290783,24755,3512623,23,467,0,842,673779,182044
428905,263124,7607,349885,19,212,0,132,42120,12753
134388,428913,30753,1335095,16,838,0,491,578363,172542
87148,428918,44543,2985688,18,1013,0,360,1528236,244524
290783,87148,59157,5635690,20,1266,0,1516,1179851,372863
317394,399936,47429,3134827,19,1072,0,835,341335,125347
73221,40081,52442,4555582,38,1093,0,1080,1423503,404562
87148,40071,62189,4234602,42,1241,0,636,1906047,343074
87148,40090,61551,4205486,36,1241,0,630,1903858,342310
40087,290677,42261,4157372,45,938,0,1112,448621,155965
317580,263123,48180,5080618,24,1092,0,1564,1305722,373213
40083,87148,49950,4009115,19,1242,0,865,572873,167614
40082,303394,2753,1495073,34,157,0,211,29257,14777
87148,243300,56720,4988949,23,1259,0,897,2008745,374150
380608,399936,47060,3030253,21,1052,0,777,458230,123840
290796,317528,7711,1196720,19,274,0,392,69852,28272
317528,74673,48496,4012453,20,1076,0,997,682772,218226
74673,40085,51855,4745036,40,1101,0,1181,1798250,407819
87148,40085,59335,4224840,40,1241,0,634,1905369,342836
290796,290794,806,207037,22,52,0,52,786,412
40079,40071,779,646664,56,99,0,99,6044,3262
40071,87148,60568,4221873,42,1250,0,878,560451,166996
290796,428917,52672,4786608,31,1132,0,1249,1547228,362320
290677,317580,7745,1179115,18,278,0,379,82699,27928
428917,375050,51892,4122315,32,1147,0,1372,1152988,332851
226179,87148,42507,2649790,24,964,0,909,1113471,283894
40086,40078,810,524973,36,94,0,146,7490,4136
317580,226179,43761,4279942,24,1012,0,1162,997884,284972
290794,290796,703,201276,20,52,0,49,1012,467
40086,40082,656,344841,37,88,0,91,6026,3242
263123,87254,40149,3334553,24,1058,0,1078,1459976,292617
40086,303394,2061,1306030,14,127,0,243,32115,16279
87148,290796,57554,5621430,25,1263,0,1242,2138263,400303
290796,375066,3934,1187886,24,165,0,247,69101,27959
40087,40082,76,98015,10,31,0,10,72,30
40082,87148,66212,4248922,41,1254,0,877,491337,166996
428917,303031,55672,5347643,31,1154,0,1344,1361058,393971
428917,87148,45996,2845289,20,1012,0,411,980946,269405
40071,317394,8731,3145259,38,348,0,803,223392,75024
415044,358006,52736,3944591,15,1098,0,470,1429423,324786
317580,317580,28,0,0,2,0,0,0,1
40085,87148,60319,4227478,40,1252,0,876,488147,166996
40087,428917,56855,5791844,48,1205,0,1540,1196013,369653
87148,290798,58332,5630180,32,1263,0,1249,2140256,400796
87148,290796,61264,5621430,25,1263,0,1242,2138263,400303
263123,243300,52443,6602435,24,1173,0,1751,1881777,424397
428918,317528,50256,5382670,27,1147,0,1352,1598176,396586
243301,243288,347,82689,10,35,0,39,1485,607
40079,243288,1599,1370481,38,132,0,319,16856,8955
358004,40071,90043,5783268,40,1308,0,901,1931358,345536
40083,290786,37338,4018961,21,952,0,1102,577231,168845
290796,375050,3778,1210988,25,165,0,248,71017,28736
428913,317528,49815,5361211,23,1145,0,1341,1438618,396586
243283,40083,2605,1037605,19,159,0,279,32798,16346
290798,263123,53175,4730972,33,1043,0,1342,1469626,348163
375050,40080,65016,5312295,44,1265,0,1005,1342166,388721
40082,399936,58583,4033300,39,1142,0,889,381699,133112
290798,290784,897,236722,27,63,0,54,670,358
40085,290783,20347,4169348,40,519,0,1189,458788,157836
358006,74673,49380,4067392,20,1087,0,914,1003312,236113
290677,317580,7932,1179115,18,278,0,379,82699,27928
317528,317580,209,25683,7,18,0,12,127,51
290798,290783,3672,1002389,31,155,0,329,36708,15953
87148,415044,36431,2985073,16,1011,0,358,1527817,244413
40084,87148,63998,4202392,40,1248,0,876,506930,166996
243283,87148,56089,5031969,26,1260,0,1135,627321,197937
317394,358006,75366,6458375,16,1310,0,1559,1375141,425220
