from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
2641587,27,535274,3007682,14,1454,1239,744,1910312,355308
2188703,12,1111983,6729157,11,2843,2667,2080,10448266,1902563
1225387,1228248,285,7883,4,24,0,10,206,61
1158646,2142734,1379,9088,3,45,0,8,326,89
1935365,1935374,545,678,1,6,1,1,34,2
1158206,2142535,355,6516,4,24,0,9,151,38
564745,2334956,199,9148,3,17,0,6,270,85
2641587,1048598,533705,2986969,14,1456,1251,737,1889207,351459
1158646,1048579,1336493,4040543,13,3554,3346,1214,6486843,1199008
1287249,2097169,1460741,4614290,19,3699,3548,1639,9303483,1501357
1230444,25,467482,2901998,18,1422,1146,662,1843115,413114
2188703,24,1121485,6711053,12,2843,2682,2073,10418334,1897223
1225387,15,942342,3470196,13,2503,2291,972,5184884,978096
1583946,21,997837,8637877,23,2737,2439,3044,11232399,2050493
1935365,1048578,1319060,13799640,14,3480,3042,4496,10571906,2389151
2461139,1927251,201,2805,3,22,0,4,124,27
2267802,1048607,1034647,8197373,17,2687,2342,2978,10331182,1899162
2461139,2097166,1476899,14707246,16,3997,3503,4719,10041723,2365011
1225387,1048591,991962,3444630,11,2483,2365,966,5124118,968357
290392,1048603,1089121,6673361,10,2681,2490,2248,10358610,1887018
773377,1821961,68,6793,5,13,0,5,117,16
1935365,2464562,365,8062,5,45,0,10,337,111
2496408,1048602,378497,1737826,9,1073,937,456,1507029,309895
1474366,425708,187,9329,4,24,0,9,169,41
1179990,1048587,1208212,3819607,24,2995,2870,1182,6266093,1086277
609396,609402,159,5822,5,25,0,6,178,53
1225387,1223542,3646,8191,2,17,7,3,217,65
801747,5,1461664,10522383,20,3663,3185,3495,13129890,2376337
1179990,38,1172596,3809135,23,2987,2890,1236,6239338,1082758
2461139,1048605,1478657,14750331,19,4000,3498,4730,10082422,2373968
290392,32,1057904,6657706,15,2681,2445,2187,10331164,1882092
1935365,886734,379,6789,4,43,0,8,284,90
564745,564697,389,9588,5,44,0,14,289,92
564745,1613397,314,7008,4,40,0,10,176,51
1821673,1048586,1191480,6942558,12,3065,2824,2256,11727918,1962843
1225387,1048589,951912,3457265,14,2495,2298,969,5153213,973001
2267802,1460636,222,9417,2,32,0,8,485,126
609396,1048599,1391887,11748407,16,3469,3106,4104,10937074,2366707
637736,28,1844984,17340034,36,3946,3339,6278,9860868,2371434
801747,2097168,1467339,10463570,19,3708,3279,3483,13062055,2363914
1158206,2142534,793,8744,4,32,0,11,238,71
1230444,2097161,466368,2866545,15,1406,1142,657,1749060,395789
367973,1048582,1158887,6385958,17,2831,2564,2244,10560499,1811975
1158206,1048615,1354067,3945532,13,3572,3384,1169,6213987,1154567
773377,1048602,1220351,6938203,21,3087,2806,2319,10789090,1957623
1158646,34,1373079,3999470,15,3583,3421,1204,6367113,1181488
2267802,2097163,947857,8250432,23,2691,2310,2994,10402948,1913138
290392,1048617,1060374,6636247,10,2681,2447,2238,10296837,1875799
290392,2097153,1041066,6670661,14,2681,2424,2190,10353803,1886162
1158646,110060,813,5175,2,19,2,4,152,33
2492409,2001114,209,8856,5,26,0,8,343,66
367973,368761,557,9675,5,12,2,5,59,9
367973,18,1193950,6295872,14,2827,2607,2223,10416227,1784903
2496408,2012336,534,7217,2,30,0,12,492,86
1230444,2097168,469338,2812674,13,1382,1141,648,1557662,369784
2496408,1048594,349676,1644688,9,1009,892,437,1326071,277249
1158206,2142570,1027,6565,2,23,3,5,154,39
2267802,412052,341,9727,4,46,0,11,515,134
1158646,1158656,951,8076,3,33,0,7,259,67
564745,1613659,308,8529,5,42,0,15,249,77
1583946,11,982201,8692349,21,2737,2401,3054,11326964,2066678
2496408,2012317,224,2925,4,18,0,5,273,21
1935365,886914,404,7739,6,45,0,10,330,108
2267802,412011,284,9185,3,40,0,8,470,120
2496408,38,394034,1706371,8,1041,954,449,1445005,298752
2267802,1048597,965539,8149641,17,2685,2345,2912,10278116,1888395
773377,1048593,1228581,6861696,21,3085,2828,2248,10640587,1931740
1583946,2097169,991758,8607878,23,2737,2441,3040,11188617,2042578
637736,15,1467017,17385919,34,3908,3266,6287,9913072,2382486
1158646,2142715,1050,8160,4,39,0,7,273,71
1935365,1048584,1367060,13791535,15,3460,3043,4492,10558888,2386664
773377,2097164,1218425,6943375,19,3089,2824,2258,10801754,1959743
1158206,109714,1535,8919,6,31,4,7,253,76
2492409,1048577,286485,1955098,12,919,677,552,1011749,231398
1225387,1227576,109,2996,1,9,0,4,77,14
1301484,1048603,1172452,5532790,10,2947,2758,1932,10187134,1722863
2461139,18,1401666,14706001,14,3747,3294,4717,10040568,2364762
1230444,1230465,747,8060,1,6,2,1,114,3
1225387,176800,183,7226,3,16,0,7,183,52
1158646,1158663,1106,9076,4,43,0,8,316,86
773377,2097160,1219836,6857638,22,3085,2817,2247,10633219,1930448
564745,1048582,602661,5366931,18,1872,1468,1366,1606206,394080
801747,1048614,1738033,10505970,19,3708,3269,3547,13111980,2372880
2492409,952513,127,5502,2,11,0,4,185,26
1158646,110087,1184,8125,4,42,0,8,270,70
1158206,109603,4412,9122,2,31,11,5,266,81
773377,2417560,643,901,1,6,2,1,60,2
1158206,9,1315645,3925720,12,3514,3289,1161,6155208,1145818
2267802,1460631,120,7040,1,14,0,7,359,82
345763,1048596,1435444,9655235,18,3424,2879,3445,11874721,2168201
564745,1048596,582015,5339103,16,1860,1452,1357,1511514,389478
2267802,26,949032,8247985,22,2691,2312,2993,10400091,1912583
2492409,2097156,292689,1959640,12,919,692,556,1015413,232173
2267802,1460580,119,3211,2,16,0,4,151,21
1179990,130365,144,6171,7,23,0,8,148,33
1230444,35,464749,2814004,13,1380,1139,649,1561315,370430
1301484,2097155,1167741,5517999,12,2947,2725,1872,10160966,1718033
1301484,1048591,1172821,5517206,9,2947,2753,1872,10159712,1717786
2188703,1048602,1164161,6786539,13,2845,2646,2147,10559711,1921641
2461139,40,1468622,14734244,16,3995,3506,4724,10068842,2370930
2377908,29,1395235,15424559,19,3762,3266,5290,10055142,2361112
564745,1048602,588452,5380773,21,1876,1447,1365,1615737,396310
1474366,425730,1163,976,2,8,4,2,40,3
1158646,110047,228,3095,2,12,0,2,87,13
1821673,9,1186576,6860632,11,3061,2813,2232,11570670,1935357
1474366,1048600,1131187,8527836,17,2577,2233,3040,13158456,2100631
345763,14,1236829,9731437,18,3447,2896,3462,12020795,2194099
1158206,1048583,1337153,4005355,12,3530,3315,1184,6417966,1183594
1225387,1048609,1174349,3428524,15,2475,2313,961,5090002,962711
1179990,29,1241090,3753728,22,2975,2885,1170,6111455,1066363
2377908,1048580,1381334,15527035,21,3733,3197,5312,10164474,2384072
564745,564740,202,5760,5,22,0,6,145,38
637736,1048607,1482075,17364241,36,3948,3342,6337,9884966,2376690
1935365,1048583,1289959,13791307,15,3461,3043,4492,10558550,2386597
1230444,1048603,337710,2852904,6,1025,813,651,1664035,389190
1474366,1048613,903867,8523295,15,2590,2247,3095,13151744,2099354
367973,1048603,1119896,6367323,15,2829,2611,2297,10523615,1805420
1225387,1048606,1134914,3376724,12,2443,2248,953,5002677,947713
1158206,109557,749,9493,5,33,0,12,282,88
801747,16,1363548,10472309,21,3667,3187,3486,13073110,2365803
2496408,2012393,325,4506,4,24,0,7,324,39
1158206,2097163,1346142,4026591,20,3546,3312,1247,6483501,1192934
801747,1048578,1727532,10565907,18,3671,3187,3508,13199534,2388770
1935365,5,1299638,13756116,16,3472,3040,4483,10508587,2376645
1287249,2097161,1460447,4641028,18,3695,3530,1642,9362558,1511078
1158646,110074,926,893,1,4,4,1,43,2
1158646,24,1361650,3965370,14,3576,3389,1197,6286343,1169003
