from,to,cchTime,weight,cchHops,cchExpanded,cchLoadInvocations,dijkstraHops,dijkstraTime,DijkstraExpandedNodes
143919,25,142957,559481,24,1219,582,473,1023150,212727
47142,47169,127,4045,4,20,0,5,80,19
251580,236700,364,4212,4,28,0,6,100,27
78410,78404,222,5847,4,14,0,4,87,25
53779,60,197467,632913,16,1451,846,564,1142394,239930
107495,107553,59,4404,3,12,0,4,628,14
223051,223038,308,6727,4,20,0,7,247,85
223051,223015,178,5158,4,22,0,7,190,63
78410,91,187525,1061888,19,1498,752,923,990945,240573
226543,226520,95,9913,3,16,0,10,280,102
204081,203967,604,2965,4,18,0,4,112,21
58101,25,196160,938872,20,1506,805,863,970056,242383
79124,20,209554,1459058,36,1603,798,864,1030101,264278
209692,209681,87,2691,2,16,0,3,61,13
89070,43,205131,1047107,19,1499,754,919,945222,241764
168057,166169,779,8659,5,40,0,7,465,123
226543,39,107652,447371,15,872,445,256,287770,75853
194513,98,149764,900528,16,1251,601,423,741745,174646
184927,17,156735,517184,14,1336,661,321,553193,138823
135981,135887,824,5354,4,35,1,5,207,63
101873,22,161198,946098,29,1291,634,595,1125238,264292
184927,166201,394,5926,5,25,0,10,261,81
58462,49,184405,967738,20,1452,742,829,974031,246599
25950,25934,250,4128,4,26,0,5,140,43
144924,96,142504,571858,17,1202,601,567,1107975,229104
255728,255687,418,7117,6,25,0,11,172,57
121788,49,166764,840818,19,1342,685,709,1027944,247308
53779,1,196092,732467,23,1490,821,636,1180133,252954
64481,64519,1209,2334,2,10,4,2,55,10
107053,106963,136,6651,3,20,0,4,108,34
255728,84,42747,208590,12,479,173,155,87560,27167
172000,83,147178,744363,27,1274,545,568,742791,179101
75920,75941,69,6949,5,19,0,7,80,23
47142,35,174117,688698,24,1371,710,486,1089332,245495
204081,203956,2641,7979,6,43,8,10,483,140
237105,74,85067,422424,12,850,356,319,179742,51887
11574,22,152579,693382,23,1313,600,415,1130624,244858
84602,84633,105,5590,2,13,0,5,95,27
21150,20,147590,755976,23,1264,587,487,1162392,257744
113021,112942,929,6393,1,10,2,8,242,75
21150,21156,510,6994,2,22,0,8,227,75
78410,78403,6893,4281,3,9,12,3,67,16
116626,50,168329,907578,15,1369,702,757,984645,246850
184568,163586,2859,9759,5,61,9,14,846,229
102560,98107,753,9431,7,26,0,7,232,50
72410,92,189379,838874,18,1462,773,654,1066492,240425
121788,76,166597,914083,21,1391,675,737,1043664,253418
152828,152684,536,9063,3,41,0,12,565,157
116471,116443,88,8288,4,14,0,6,122,26
75920,75920,4,0,0,2,0,0,0,1
107053,107053,9,0,0,2,0,0,0,1
184568,28,154993,574035,19,1351,651,403,689787,169251
172000,171976,115,6007,5,27,0,7,163,42
143919,143920,204,898,1,4,1,1,33,3
149199,149187,380,6942,5,43,0,8,759,130
226156,97,123412,506372,12,1026,485,235,358581,93058
187466,71,113925,459057,19,986,476,399,983328,198373
183379,43,139595,487322,15,1253,562,342,491300,123887
66714,66664,274,8677,4,24,0,10,229,82
139500,41,121864,344436,29,993,490,247,389329,87028
222504,83,206488,793633,21,1584,885,795,1101162,245912
113021,78,163450,631410,15,1270,643,525,1048265,233204
20943,94,113930,458587,16,958,460,354,849613,182030
246592,15,38535,209897,9,399,157,147,91224,28055
254470,76,75219,243588,13,697,313,186,122351,35955
149199,149223,124,2298,3,19,0,5,295,27
68072,96,205281,914571,22,1468,765,752,1007918,252066
237105,237098,119,6967,4,16,0,5,118,38
203877,203599,1833,9489,3,45,4,11,407,136
236466,83,31289,232211,11,326,134,179,100406,31152
152828,152847,1063,5018,3,25,3,7,248,53
168057,168048,811,9001,3,34,0,12,512,137
184927,166190,3977,9130,5,45,17,11,487,162
143919,143904,405,3154,3,16,0,3,67,13
187466,187297,81,1105,2,12,0,2,44,6
101873,94232,214,3255,4,13,0,5,132,25
253776,78,92356,274421,12,861,389,212,214231,54271
56642,52888,477,5794,6,49,0,7,157,45
13125,28,150538,555588,20,1315,610,396,1027948,214682
116626,72,163334,1112040,22,1408,656,740,1024340,262752
209692,201628,2557,8856,4,45,4,6,317,107
236466,247159,236,3821,3,18,0,4,71,16
187466,187308,174,3531,4,19,0,5,101,23
21150,49,124397,464216,13,1011,519,413,859109,184663
187466,34,117175,445699,22,975,489,358,921456,191494
251580,250531,811,9808,4,49,0,17,468,173
92907,36,149477,695770,18,1239,609,465,901841,198364
72410,82,224710,939250,23,1576,851,711,1098925,251657
21150,21164,429,5449,3,22,0,4,145,44
123041,123053,424,8882,3,24,0,5,161,50
236466,247094,573,8832,4,24,1,9,236,82
102560,98094,1087,5030,4,20,0,4,61,9
262644,52,32923,193595,11,352,138,67,28214,10308
113313,113412,795,5272,3,31,1,5,204,55
246592,246591,177,3703,2,12,0,2,58,14
47019,58,164279,671625,18,1275,678,546,1151595,245751
89070,40,222787,1072250,20,1548,849,742,953431,244752
101873,94239,93,5597,5,22,0,6,194,44
92907,43,137341,683062,19,1190,532,467,860908,194065
58101,75102,217,8953,5,30,0,10,203,68
222504,97,203179,784945,19,1533,873,812,1098097,244831
240863,28,79096,347977,19,745,314,298,287183,74415
125215,13,174251,888832,24,1423,703,697,1083598,257815
149199,149190,216,3540,5,27,0,6,471,54
226543,73,100854,584509,14,912,402,259,508151,124292
258812,72,13843,192837,9,170,44,93,24244,8887
107053,116298,200,8836,6,26,0,10,148,54
64481,64520,596,3477,2,18,2,3,74,17
135981,88,107070,288239,11,937,434,253,550624,98543
184927,184698,935,6332,3,27,2,8,281,89
100609,45,143830,772397,23,1206,566,512,881883,206453
251580,63,67349,237891,12,599,281,190,123399,36540
110617,80,153607,668237,17,1290,631,564,1095189,235941
84602,64,205331,1291314,22,1632,831,1098,949810,246698
58462,58497,125,7621,4,22,0,7,166,47
25950,5,150286,593354,21,1325,609,478,1097065,235092
149199,84,168603,711719,27,1487,691,589,1230137,241267
192759,192763,37,1992,2,6,0,2,30,3
47142,13,169190,810519,27,1415,666,626,1121818,257774
192759,191736,90,7609,2,14,0,4,69,19
204081,204081,11,0,0,2,0,0,0,1
165947,165950,144,4180,2,13,0,5,98,26
144924,85,181473,591919,15,1193,591,486,1126617,234341
72410,77,224796,937217,23,1575,848,706,1098208,251406
93831,93861,180,7101,5,26,0,5,129,38
231686,8,83968,471954,17,760,338,218,478612,117048
171131,171070,127,8465,5,37,0,12,461,74
204081,35,181345,497155,19,1218,656,356,815105,176478
212560,88,135921,508367,15,1131,499,432,583189,144422
133492,76,126216,351397,14,1063,527,274,606266,124407
116684,96,166705,986086,21,1379,682,816,998982,253035
110617,16,154563,592966,13,1232,640,464,1003781,211910
194513,14,149190,901962,17,1252,613,497,745672,175400
113021,112730,5308,8135,5,44,25,15,337,108
72410,72481,353,6562,4,23,0,6,247,72
20943,52,125870,467952,15,1010,533,349,870095,186615
222504,224339,278,4255,5,27,0,6,141,33
125215,50,175275,758424,15,1368,744,623,1053211,246162
188100,187655,1580,5618,3,24,5,4,292,56
212560,212296,686,8896,5,43,0,7,371,126
184568,14,155107,533547,14,1305,665,392,626003,153599
223051,45,246239,653193,16,1423,811,658,1089974,237306
110617,110660,365,9396,3,20,0,6,338,103
5376,5405,118,4186,3,18,0,4,71,18
38257,38261,431,6716,3,25,0,5,189,58
107495,29,160965,719752,17,1329,627,427,1108698,240676
236466,2,37258,281141,13,381,154,236,147919,43389
107495,6622,116,7460,4,18,0,5,1139,32
143919,7,155103,720196,25,1368,628,571,1153197,249914
56642,62,154384,524147,21,1350,653,462,1078501,220497
178007,18,163111,1012793,26,1402,650,626,987791,245691
255663,240651,128,6984,3,13,0,5,169,55
184927,166241,1624,8815,4,43,5,11,461,152
139500,139459,2075,9893,15,40,6,15,104,38
92907,92815,154,4302,5,13,0,5,47,10
47142,64,166678,712399,20,1376,681,555,1098016,248570
165947,52,145477,551567,17,1259,614,428,577355,147461
13125,13146,289,7899,6,30,0,6,122,33
116164,61,153076,913191,19,1267,612,501,855773,200589
184927,30,163657,644317,21,1399,608,438,761832,189517
226543,95,98414,410745,13,832,396,255,226664,61581
203877,203866,497,2302,3,16,0,3,59,11
209692,209700,277,4083,5,20,0,8,103,29
222504,222545,485,9060,5,48,0,10,403,127
64481,64462,52,6719,4,18,0,5,129,41
223051,223044,40,1696,1,4,0,2,50,9
36479,93,138327,634931,12,1231,561,552,1041344,231964
194513,62,151711,885558,18,1265,611,527,700725,166859
82842,58,203783,1170349,21,1593,844,992,955663,244384
42160,53,172765,773590,19,1333,729,580,1066050,248802
82958,83192,241,8833,5,27,0,11,199,65
172000,35,153139,687951,27,1229,561,538,642812,156005
116164,16,155844,830098,17,1243,633,413,713180,172572
68072,68080,51,1691,1,6,0,2,166,8
66786,67581,363,6937,2,20,0,7,179,56
231686,230622,142,5299,4,14,0,5,63,14
58462,58481,95,5522,3,14,0,4,83,22
21150,5,251921,610019,19,1282,580,496,1103629,237710
169840,53,138538,570953,22,1186,570,452,590707,151339
20943,76,148975,539250,16,1271,624,443,1020219,215285
184927,29,163791,643799,20,1398,612,437,760931,189291
255663,240508,34,3782,3,7,0,6,79,20
175316,174748,725,4692,3,23,2,7,134,39
80566,80536,16,6550,4,8,0,4,51,9
133492,133224,473,6715,5,35,0,8,232,72
251145,50,82938,228438,8,725,362,207,142451,39529
255728,74,42048,197890,9,451,174,144,82733,25678
82842,45,189640,1144907,19,1538,778,963,947515,241449
95234,95206,73,8246,4,20,0,5,70,20
209692,209048,873,6727,6,32,0,11,202,66
212560,212569,147,5028,4,26,0,5,141,39
192759,79,154027,896452,19,1313,633,531,679643,169818
89070,62,220569,1084642,17,1562,829,933,957379,246187
95234,18,202657,1137774,28,1287,621,722,1077353,264332
143919,30,156148,709619,28,1384,631,567,1149017,248489
133492,100,127081,339212,11,1063,539,296,565748,116745
