weight,dijkstraTime,cchTime
4091,51,29
1649209,1220084,87718
6673,89,114
1176433,1036302,94031
860474,273281,85402
826611,1210468,87745
831387,1110645,84908
1350915,1072741,97902
778635,1262721,135680
994216,1424912,90453
6639,45,112
557899,678918,101958
749272,501731,92689
775303,1150820,72823
8412,80,52
808533,1297289,74220
923066,776264,154845
9285,59,555
834046,1335010,83065
9266,262,303
579157,148236,65889
1125190,1180003,83346
1212692,1187073,102704
874150,1296103,83517
4700,27,27
67722,5155,1047
315435,57148,20031
0,1,228
654159,702415,78182
667722,854192,93768
693602,1145280,72624
747684,1178147,74988
906949,1284364,88823
1256872,1184499,86152
581970,1064133,91540
914809,1346793,82826
7536,51,110
701190,915868,90286
818154,497975,97593
696355,1144977,89240
824070,1329981,70678
1278167,1125512,95379
1003352,1162563,113978
395198,584281,30985
1704829,1198982,121065
7421,63,43
255312,82079,40060
813224,1178634,79980
587886,1124482,76986
1189430,1077515,97870
6822,84,139
678191,836359,90515
1120946,1110558,90445
1101068,683993,102558
728496,748102,97796
7264,73,199
9679,106,2038
741328,791996,143971
563772,631278,87393
8459,93,232
807795,1273426,207362
216757,57617,27610
1101288,1118519,103193
977607,1321391,90767
900628,1280319,87825
393577,409490,117740
837733,647725,100414
263340,102733,20377
859578,547145,97159
1184757,1215061,88605
357849,184005,58168
9651,127,488
880590,1103061,87822
813457,1202332,83813
551813,815514,94559
7180,103,123
774833,1150947,69463
616214,1210816,52772
1223776,1075304,93575
844615,1271457,144678
217840,58543,32603
772538,1081702,71740
803215,1098103,81700
248190,60917,9369
379353,549165,33334
533129,870207,54983
820002,1209217,86590
2854,30,19
762919,1025874,82001
1235930,1085051,92619
4821,54,52
7554,47,38
743615,657704,96755
777406,1139055,85822
6465,57,116
724549,805008,136041
65146,4722,1438
1658392,1265063,100676
9859,59,210
1331132,1146094,96859
711505,1319469,87876
625118,974555,59606
5413,56,113
888054,1353959,78488
761297,1207142,81040
1003376,1162579,96790
672903,644144,100626
1060045,1211573,73998
1224299,1083276,93879
1648632,1296375,100549
907462,1387640,83138
597269,965659,123585
1173255,1023015,96766
584046,748341,68644
1694237,1179832,89464
